"level3_pathway_name","Nitritation1mean","Nitritation2mean","Nitritation3mean","Denitrification1mean","Denitrification2mean","Denitrification3mean","pvalue_Denitrification","Denitrification_vs_Nitritation","Denitrification"
"-",5.85705208833333,5.80270217466667,5.54150887033333,7.97870665833333,7.05530363566667,8.65956826566667,0.0383029333753895,1.37743248132471,7.89785951988889
"Alanine, aspartate and glutamate metabolism;Pyrimidine metabolism;Metabolic pathways;Biosynthesis of cofactors",5.018429204,4.620920821,6.40670866,7.677156619,7.129194631,6.40965685,0.0660655752484221,1.32219434793872,7.0720027
"Arginine and proline metabolism;Biosynthesis of secondary metabolites;Metabolic pathways;Carbapenem biosynthesis;Biosynthesis of amino acids",5.007075291,4.690648271,5.162941951,7.752799192,7.08535199,7.545980481,0.000828555714550448,1.50626710785049,7.461377221
"C5-Branched dibasic acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Valine, leucine and isoleucine biosynthesis",5.053523114,5.889521444,6.385046078,8.1432697,7.624534778,9.74348784,0.0301125434454236,1.47225062783311,8.503764106
"Histidine metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Metabolic pathways",5.177897388,4.984223675,7.672258032,7.066961891,8.462350669,7.860467164,0.153328942962174,1.31149952568618,7.79659324133333
"Metabolic pathways;Biosynthesis of secondary metabolites;Histidine metabolism;Biosynthesis of amino acids",6.053188487,6.439250239,7.188086409,8.781027392,7.888677237,8.057539985,0.0187895964679029,1.25643215536078,8.24241487133333
"Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Metabolic pathways",4.667490098,4.942376183,6.444618178,9.826760473,7.161600061,7.401205976,0.0615946327126956,1.51917469366806,8.12985550333333
"Purine metabolism;Metabolic pathways;Nucleotide metabolism;Drug metabolism - other enzymes",4.676938459,5.160285827,5.924820355,7.999006647,7.380959896,7.079088712,0.00963143856433705,1.42488209915228,7.48635175166667
"Sulfur metabolism;Biosynthesis of amino acids;Carbon metabolism;Microbial metabolism in diverse environments;Cysteine and methionine metabolism;Biosynthesis of secondary metabolites;Metabolic pathways",4.665105075,4.292833492,5.843218629,7.544483427,5.999094582,8.057539985,0.0470639119395907,1.45942088905303,7.20037266466667
"Two-component system",6.3445218495,7.2310756595,7.2118194915,7.360740963,7.946690422,8.048489445,0.0833970771402192,1.12356050919834,7.78530694333333
