"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","G3A","G2A","R3A","D2A","Y1A","Y2A","B2A","R1A","D3A","B1A","Y3A","B3A","D1A","G1A","R2A","mean"
"B1A_k97_10360_4",29.3776397825717,-1.00534251736345,0.451141743405786,-2.22844046701123,0.0258511571057056,0.941184664600334,"Red_vs_Dark",2.061240147,2.40057148,1.185637637,0.763524055,1.844945423,1.652173893,1.464565537,1.223966931,1.192898128,0.615269754,1.057379023,0.591262802,1.43202912,1.442169496,2.777126192,1.44698397453333
"B1A_k97_12796_2",22.8266730888482,1.53570862337428,0.744846535186206,2.06177856891066,0.0392288223342151,0.946008005974241,"Red_vs_Dark",1.375461386,2.206694157,0.625983508,1.637672333,1.424591381,2.047485702,1.921752774,1.453995681,1.259633688,1.809851938,0.544309884,6.087319305,1.579649005,1.892365455,0.529477342,1.75974956926667
"B1A_k97_13672_3",18.1958292274513,2.58298585990606,1.05816972847898,2.44099390711058,0.0146469018817232,0.941184664600334,"Red_vs_Dark",0.311558821,1.51619106,0.37220641,0.129833482,0.501958124,0.87404795,1.171962884,0.1280797,0.374485691,0.358709393,0.575366604,8.043304787,0.139148261,0.346212391,0.419765821,1.01752209193333
"B1A_k97_15164_2",31.1652618737657,1.0381543830299,0.498757183910976,2.08148256610415,0.0373897582195796,0.941200139609722,"Red_vs_Dark",0.988086547,0.591814357,0.629560556,1.811733507,2.865463806,0.791994469,1.189374904,1.218586857,1.504362519,1.213462633,1.368550564,1.020350664,1.853454833,0.805191104,1.331257317,1.2788829758
"B1A_k97_15164_2",31.1652618737657,1.07871691983361,0.49640077915559,2.17307660489288,0.0297745521883607,1,"Green_vs_Dark",0.988086547,0.591814357,0.629560556,1.811733507,2.865463806,0.791994469,1.189374904,1.218586857,1.504362519,1.213462633,1.368550564,1.020350664,1.853454833,0.805191104,1.331257317,1.2788829758
"B1A_k97_15164_2",31.1652618737657,1.01748166652372,0.497269321717189,2.04613802237008,0.040742793022029,1,"Yellow_vs_Dark",0.988086547,0.591814357,0.629560556,1.811733507,2.865463806,0.791994469,1.189374904,1.218586857,1.504362519,1.213462633,1.368550564,1.020350664,1.853454833,0.805191104,1.331257317,1.2788829758
"B1A_k97_15164_2",31.1652618737657,1.42888015044725,0.490779756740401,2.91144883386676,0.00359756823609047,1,"Blue_vs_Dark",0.988086547,0.591814357,0.629560556,1.811733507,2.865463806,0.791994469,1.189374904,1.218586857,1.504362519,1.213462633,1.368550564,1.020350664,1.853454833,0.805191104,1.331257317,1.2788829758
"B1A_k97_17688_1",41.0858449096566,1.75310168791511,0.576297592350617,3.04200765574,0.00235005917320463,0.913232650256703,"Red_vs_Dark",0.910079714,2.238771415,1.76028445,1.51700174,1.885173556,2.18840577,1.858398287,1.389616591,1.354342988,2.594574709,1.680676132,8.055399982,0.929050042,1.252091429,1.401323492,2.06767935313333
"B1A_k97_18664_1",22.8753588371347,2.54587200466709,0.833339646017863,3.0550232631228,0.00225043065836473,0.913232650256703,"Red_vs_Dark",1.110464238,1.425240997,0.25269059,1.32215748,0.511168365,0.762930452,0.716080074,0.782578715,0.508475984,1.095873651,0.878885684,8.892964506,0.425104319,0.940173099,0.427467946,1.33681707333333
"B1A_k97_2004_1",26.0785912872163,2.31395330449634,0.770643292935178,3.00262563200038,0.00267661470236793,0.928375327286626,"Red_vs_Dark",0.974169835,1.094023019,0.678883522,0.608937318,0.588563575,0.585629713,0.732889465,0.700830469,0.683040803,1.121598384,0.449758401,7.814305265,0.326312471,0.451051354,0.656253607,1.16441648006667
"B1A_k97_20854_2",391.308882961238,1.08228031179711,0.349344620754554,3.09803056208359,0.00194811337276088,0.913232650256703,"Red_vs_Dark",10.48829572,12.37999636,13.92214687,13.93900779,13.62487154,13.2540058,14.14616838,12.8184683,13.32596076,15.66560366,13.52347325,30.80566897,17.04908362,15.32983062,12.90034413,14.8781950513333
"B1A_k97_27095_1",17.5560267380259,1.42317567744975,0.719461765070056,1.97811161974838,0.0479161160116698,1,"Blue_vs_Dark",1.255029283,0.522013671,0.11106159,1.162219075,1.123333705,2.123694847,0.419638323,1.605127849,1.229158679,0.428137018,1.673899212,0.20571586,1.245601366,1.342969033,1.377779751,1.05502528413333
"B1A_k97_33567_1",17.0474114970508,-1.0978201236351,0.520583388833581,-2.10882664945357,0.0349595474205278,0.941184664600334,"Red_vs_Dark",2.081386013,2.277526315,1.530181908,0.667199839,1.805654919,0.641662186,1.324969149,0.921462284,0.898072166,0.860238267,0.739186262,0.590480709,0.858080941,1.186098006,1.150469287,1.16884455006667
"B1A_k97_35044_2",33.4162419827383,2.96141443166624,1.32009004470795,2.24334275039655,0.0248747205892215,0.941184664600334,"Red_vs_Dark",0.654273524,1.119648783,0.446647692,0.311600357,0.150587437,0.674265562,0.140635546,0.691630378,0.074897138,0.932644422,0.258914972,10.41033448,0.083488956,0,0.335812657,1.08569212693333
"B1A_k97_37092_2",14.1515398245735,1.68315935807571,0.81306141552998,2.07015033049941,0.0384382689049551,0.94212138235319,"Red_vs_Dark",0.570049931,0.711315333,1.210693378,0.633473254,0.918417886,0.609226515,1.000676001,1.093603589,0.304526826,1.604337616,0.526365602,3.924425632,0.509190888,1.54844443,0.34134803,1.03373966073333
"B1A_k97_41839_1",37.8379504984872,3.65021268072253,1.14723890036281,3.18173719490174,0.00146394592372005,0.879300373433425,"Red_vs_Dark",0.793998118,0.462354966,0.28105382,0.66175331,0.142136101,0.494996543,0.331856837,0.217604796,0,0.948017682,0.733152088,11.1275487,0.236410055,0.326782104,0.554690549,1.1541570446
"B1A_k97_42547_1",79.1761346325996,1.20017280079971,0.488990962272827,2.45438646804701,0.0141125219875907,0.941184664600334,"Red_vs_Dark",3.581813732,3.513897743,3.738015803,4.426394363,3.283343944,2.771980642,3.345116917,4.366602903,2.870165332,3.69726896,3.30733053,11.47894497,3.309740773,2.195975737,2.107824086,3.866294429
"B1A_k97_46664_1",48.0153541446053,1.5417277774026,0.598707983388565,2.57509139710605,0.0100213601665739,0.941184664600334,"Red_vs_Dark",2.305535275,1.834008033,2.869091077,2.522015393,1.160778162,2.078985482,2.493351035,1.540158388,1.616529899,2.65444951,1.995802906,10.4160797,2.1881064,2.455222873,1.941416921,2.6714354036
"B1A_k97_47299_2",62.9492117290282,1.28712774952751,0.44167677467483,2.91418481416668,0.0035661871569854,1,"Green_vs_Dark",0.838376464,1.019983077,0.792912443,1.048110293,1.688404599,1.595988855,1.813346207,1.46476602,2.225352849,0.482627184,1.693408527,1.275438331,2.012589844,1.785616635,0.753034442,1.36599705133333
"B1A_k97_48036_2",35.4082886115905,1.74724094007209,0.654517745077991,2.66950889141118,0.00759622618800247,0.941184664600334,"Red_vs_Dark",0.969617639,2.177821523,1.544482673,3.097802619,0.911265099,2.590636114,1.702084412,1.461544984,1.553940624,3.597151205,0.895313453,7.151990638,1.443500649,2.394366069,2.032137338,2.23491033593333
"B1A_k97_49743_1",151.592968663022,1.23661078652727,0.425027061555181,2.90948717948096,0.00362022234641738,0.941184664600334,"Red_vs_Dark",3.785207169,4.250905361,5.070154978,6.524616937,5.405414725,5.654288872,4.012660978,4.597487726,4.06717544,4.622175763,5.1632712,13.70620295,4.610584161,3.059070679,3.477164635,5.20042543826667
"B1A_k97_50945_1",51.9503658062272,1.92731804654243,0.640233538204221,3.01033596576076,0.0026095886142875,0.919700256372392,"Red_vs_Dark",0.782743458,1.225335795,1.246814888,0.711679829,0.68786854,0.855549581,1.177750355,1.111605295,0.79828637,1.310839264,0.788465346,6.875819807,1.207669473,1.21245574,0.958724406,1.39677387646667
