"id","tSNE1","tSNE2","D2A","D3A","D1A","B2A","B1A","B3A","degs","Cluster","ko_name","ko","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"B1A_k97_15164_2",-2.92733077883372,-4.40503100299947,0.448974156346407,0.398697195387282,0.455371002543252,0.340320135618766,0.345072194749976,0.305426754705602,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"D2A_k97_13944_1",-4.14251433358419,-3.48436082843091,0.461511286809731,0.438050572985835,0.427637878719649,0.420844974914893,0.281055416796557,0.305426754705602,"Blue_vs_Dark","Cluster 5","rbg:BG454_14210","K03574","8-oxo-dGTP diphosphatase [EC:3.6.1.55]","3.6.1.55","Hydrolases","-","-","-","-","-","-"
"D2A_k97_40800_2",-1.46863076928383,-3.52777677199798,0.417906467845467,0.494267582325956,0.383538968230947,0.34137211880366,0.371863826974859,0.336724015876355,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"D3A_k97_56100_1",-3.38992907022661,10.8666605058763,0.173565512930209,0.364010074561147,0.348035223291699,0.41931101179096,0.343717307611081,0.343960014038619,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"D3A_k97_63665_1",-3.99966356887229,-7.96030573772618,0.399967339887453,0.509011912493044,0.555365891053913,0.32048829774264,0.361610915569981,0.458338849554584,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_1758_21",-7.27501794711858,-3.9155374647726,0.373886519323476,0.439368677348582,0.330025230943693,0.588341952972569,0.37968229087035,0.39389502978225,"Blue_vs_Dark","Cluster 5","halk:CUU95_17500","K09916","uncharacterized protein","-","-","-","-","-","-","-","-"
"G2A_k97_19898_3",-3.16103663616057,-5.10109226392635,0.433331221426112,0.444582138050914,0.452568963324368,0.359455794811684,0.364379103792457,0.275073328204688,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_21093_77",-8.71320464297021,-8.54540431634007,0.567466488015509,0.585335628477199,0.412939219463417,0.345525575712637,0.456456443676928,0.36383720638477,"Blue_vs_Dark","Cluster 5","halk:CUU95_15625","K22042","ArsR family transcriptional regulator, virulence genes transcriptional regulator","-","-","-","-","-","-","-","-"
"G2A_k97_30652_14",-4.00297224742099,10.3173478796931,0.193945047029188,0.400623765909498,0.319316113508287,0.481818442467498,0.351075724912282,0.300255435157501,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_40565_1",-7.84216510484216,-8.42898308901211,0.528101510950953,0.576478887227976,0.389819704454146,0.376102456208418,0.434183133058308,0.423338827754175,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_43305_25",-9.77662637448825,-9.20080190260705,0.670630523533629,0.60435855372572,0.506030411149275,0.337204646972397,0.461803860804213,0.387116398717984,"Blue_vs_Dark","Cluster 5","rid:RIdsm_01468","K07068","uncharacterized protein","-","-","-","-","-","-","-","-"
"G2A_k97_43305_37",-5.0912908771093,-6.00691484598006,0.46863933293213,0.506648303355083,0.422119134787502,0.424995312537529,0.398993309222756,0.319205910565667,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_51768_12",-5.61898961705429,-4.70676925964374,0.448840943772893,0.414300617351307,0.375613604860753,0.473509785618547,0.390803094709009,0.27139997793126,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_6778_3",-2.09794912726413,-6.45358540110341,0.400228647071462,0.436480110174036,0.510490218088735,0.440308582431137,0.413747193206559,0.246809417979531,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_9106_13",-5.52936871946678,-1.64871477256937,0.370156713880306,0.409991137650334,0.527411203416316,0.500803176984219,0.209346505621931,0.323330469534294,"Blue_vs_Dark","Cluster 5","tpro:Ga0080559_TMP1922","K03574","8-oxo-dGTP diphosphatase [EC:3.6.1.55]","3.6.1.55","Hydrolases","-","-","-","-","-","-"
"R1A_k97_30892_1",-4.42957894506502,-2.0250679792623,0.35973144383408,0.403369247118839,0.445358396208304,0.444068218756226,0.29621642506362,0.344060038503065,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"R3A_k97_28163_1",-0.066698015148836,-2.03392826694259,0.403405167471846,0.478293955380464,0.341207275500213,0.288398094182739,0.333267570803952,0.284257133419224,"Blue_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"Y3A_k97_259_1",-8.07899697637375,-9.9993696697308,0.570444168918437,0.54203044686356,0.439102424344785,0.489440257750068,0.459113158359263,0.366155401540901,"Blue_vs_Dark","Cluster 5","pstu:UIB01_15900","K02624","IclR family transcriptional regulator, pca regulon regulatory protein","-","-","-","-","-","-","-","-"
