"log2FoldChange","pvalue","degs","id","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3","UV1","UV2","UV3","mean","tSNE1","tSNE2"
-4.2869619425996,0.00104769927985994,"Blue_vs_Dark","OTU38",2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13,16.2222222222222,18.2386629216152,-6.56592137863506
-1.4391573647078,0.0243026271366323,"Blue_vs_Dark","OTU86",7,14,11,2,5,2,8,7,12,12,11,16,11,9,9,7,20,7,9.44444444444444,13.1450231929523,-4.20845618882215
-1.48078120218467,8.97969385363818e-08,"Blue_vs_Dark","OTU7",2476,2408,2358,928,333,749,2313,3194,3031,3308,3822,3402,2776,2647,2390,811,895,535,2132,25.7301460755778,-7.51747857831455
1.3523486024242,3.66473759917855e-14,"Blue_vs_Dark","OTU3",2575,2524,2185,5350,5922,3164,3301,3974,4288,2267,2812,2286,2109,3333,2688,4661,6227,4028,3538.55555555556,-8.17984249047996,11.6027910235706
-1.53505780486407,0.042504395756371,"Blue_vs_Dark","OTU48",12,8,9,5,2,1,11,7,7,9,7,7,10,10,5,9,17,1,7.61111111111111,12.5000281013967,-0.895841850732092
-1.20100192009678,0.000218634431942511,"Blue_vs_Dark","OTU25",120,113,146,34,50,41,150,121,168,123,143,109,73,113,88,152,167,196,117.055555555556,-14.6260741293314,-5.87214467271254
3.40489054721073,0.00765762236990955,"Green_vs_Dark","OTU62",1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1,4.33333333333333,20.7792421909955,0.90588565732135
1.64964496675588,0.00485980527024731,"Yellow_vs_Dark","OTU38",2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13,16.2222222222222,18.2386629216152,-6.56592137863506
2.70061890442513,0.037270924528588,"Yellow_vs_Dark","OTU62",1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1,4.33333333333333,20.7792421909955,0.90588565732135
1.52918101186548,0.00970680150597999,"Red_vs_Dark","OTU38",2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13,16.2222222222222,18.2386629216152,-6.56592137863506
2.98565466501335,0.0213143768928047,"Red_vs_Dark","OTU62",1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1,4.33333333333333,20.7792421909955,0.90588565732135
5.9119282344439,0.0432973818066226,"UV_vs_Dark","OTU39",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,31,13,13,3.33333333333333,-34.0794254080763,0.764562863776985
2.8413864765199,0.00155738846067005,"UV_vs_Dark","OTU35",3,3,2,0,2,2,2,2,2,2,7,3,2,6,2,43,15,36,7.44444444444444,-28.5744020335711,12.7971191932106
6.2523120844314,4.56429027151843e-05,"UV_vs_Dark","OTU32",0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,66,35,40,8.22222222222222,-26.7592550563679,4.28233104045793
3.71849671605632,0.00161606537487014,"UV_vs_Dark","OTU30",0,4,1,1,0,7,1,5,4,4,5,4,3,2,3,16,27,62,8.27777777777778,-19.4659178337374,14.1830501260984
-2.94527464759451,0.0167011175520147,"UV_vs_Dark","OTU84",4,2,2,2,2,2,5,4,6,3,2,3,8,7,6,0,1,1,3.33333333333333,26.8560162457866,-13.4394369243409
8.48374866570224,5.86339234774408e-06,"UV_vs_Dark","OTU14",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,323,122,197,35.8333333333333,-29.3310461638584,8.30034857469341
2.61748363892995,6.69710344808522e-10,"UV_vs_Dark","OTU15",17,30,10,17,17,9,27,32,45,26,20,32,15,33,16,268,194,150,53.2222222222222,-20.3430960351454,2.92003008226598
7.77822165459233,2.7632361805163e-07,"UV_vs_Dark","OTU16",1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,214,67,111,22.1666666666667,-33.4471302316038,8.88814571630546
8.36999359738786,3.97886147138782e-15,"UV_vs_Dark","OTU10",2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1177,483,625,127.388888888889,-30.2899517760586,2.11937922859657
10.4071363719836,1.9442767659264e-12,"UV_vs_Dark","OTU11",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,547,337,405,71.7777777777778,-23.6837477221413,6.3169971145772
1.69182540612374,4.04718018839623e-06,"UV_vs_Dark","OTU12",48,65,43,19,9,36,31,55,64,59,55,60,37,28,33,244,501,233,90,-5.61672806024313,3.67690760763067
8.93500397187637,0.00106456791123924,"UV_vs_Dark","OTU19",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,230,94,131,25.3888888888889,-31.2314472484252,5.42746906005797
