otu_id,Dark1,Dark2,Dark3,Blue1,Blue2,Blue3,Green1,Green2,Green3,Yellow1,Yellow2,Yellow3,Red1,Red2,Red3,UV1,UV2,UV3
OTU38,2,15,11,0,0,1,6,11,8,25,46,34,16,35,30,8,31,13
OTU39,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,31,13,13
OTU36,22,11,27,18,24,14,33,52,49,34,40,29,22,28,13,78,75,52
OTU37,13,16,11,9,9,3,9,14,15,20,16,10,8,14,16,33,32,24
OTU34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,24
OTU35,3,3,2,0,2,2,2,2,2,2,7,3,2,6,2,43,15,36
OTU32,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,66,35,40
OTU33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7,16
OTU30,0,4,1,1,0,7,1,5,4,4,5,4,3,2,3,16,27,62
OTU31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20,30
OTU128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OTU126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
OTU125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
OTU124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
OTU122,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0,4,2,1
OTU121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
OTU120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
OTU82,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,3,5,0
OTU81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
OTU80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
OTU87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
OTU86,7,14,11,2,5,2,8,7,12,12,11,16,11,9,9,7,20,7
OTU85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
OTU84,4,2,2,2,2,2,5,4,6,3,2,3,8,7,6,0,1,1
OTU89,1,3,2,1,2,3,3,2,3,4,4,4,2,2,0,0,0,5
OTU88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU14,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,323,122,197
OTU15,17,30,10,17,17,9,27,32,45,26,20,32,15,33,16,268,194,150
OTU16,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,214,67,111
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3,2
OTU10,2,0,2,0,0,0,1,0,1,0,1,0,0,1,0,1177,483,625
OTU11,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,547,337,405
OTU12,48,65,43,19,9,36,31,55,64,59,55,60,37,28,33,244,501,233
OTU13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,56,64
OTU18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,51,109
OTU19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,230,94,131
OTU98,15,17,14,20,11,14,25,28,24,33,33,31,19,23,13,4,25,7
OTU99,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,8,5,2
OTU94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
OTU96,162,175,152,133,105,153,165,189,128,156,122,174,185,182,180,0,8,2
OTU97,99,84,141,115,103,103,136,120,118,148,130,150,125,168,127,1,12,0
OTU90,1,0,0,1,0,1,1,0,0,0,0,0,0,3,1,0,0,0
OTU91,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2
OTU92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
OTU93,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
OTU60,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,1,3
OTU63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3
OTU62,1,0,1,5,1,2,14,6,6,5,2,9,7,5,4,1,8,1
OTU65,4,18,10,7,2,3,10,9,5,9,10,6,15,7,8,1,4,2
OTU64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2
OTU67,1,0,0,4,0,1,2,2,2,3,1,1,0,0,1,7,4,7
OTU66,0,1,0,0,0,1,3,0,1,0,0,2,0,0,0,7,2,6
OTU69,7,5,3,3,3,4,3,2,1,4,3,6,1,1,4,2,3,2
OTU68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3
OTU72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,9
OTU73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
OTU70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9
OTU71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
OTU76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6
OTU77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
OTU74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6
OTU75,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,5,1
OTU78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1
OTU79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
