"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm"
"g_00005",-21.8258879987082,30.9943786687552,0.0266721511783994,0.069280240110702,0,0,0,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00016",-10.4796433250337,-41.7916861125084,0.103708644513377,0.0174240285486905,0.0217076612907463,0.351116900830695,0.497513063991845,0.0184129537958308,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00022",-26.4118591999608,39.6007976962264,0.027794277027407,0,0.0210548537793614,0,0,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00028",-24.4111146111615,39.8801663553629,0.049461469544698,0,0.0212451333426279,0,0,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00048",-7.22323312741038,-4.73518312181395,0.0632815558290277,0.0450529280031538,0,0.61734375951576,0.65505079841071,0.122994288174471,"Yellow_vs_Dark","N","Topology=o246-263i283-305o",0,1
"g_00071",-8.84177213289227,17.4140341150559,0.0250714468748273,0.0244622693510315,0.0543146139419535,0.921067203547079,0.813553502394804,0.268686999806401,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00083",26.7395590254061,-20.48794094431,0.0285313998722711,0.0547474582398846,0.0221907433938234,0.230787283762127,0.196045130523166,0.0294130002559538,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00089",-4.35731113437308,39.34088986863,0.0604167797793969,0.183029989950688,0.0977118485425651,0.0191715607730962,0.011865511349356,0.0644838214924762,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00096",-2.09071215166189,-7.57269321821519,0,0,0,0.623289926051854,0.570417069640277,0.033317983858918,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00098",32.0538436346727,0.727094198030558,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","N","Topology=o",0,0
"g_00106",54.7209829710388,21.8709684276723,1.08775008644839,1.03536424884409,1.38759446609101,1.09690018046968,0.667317880312886,0.779224295828228,"Yellow_vs_Dark","N","Topology=o",0,0
