"","g_05066","g_06237","g_10542","g_10722","g_14330","g_14403","g_19622","g_20098","g_23781","g_27359","g_27535","g_31812","g_33340","g_34069","g_35105","g_50142","g_52123","g_55742","g_02228","g_06075","g_08790","g_11466","g_17469","g_22259","g_23268","g_23444","g_37021","g_37045","g_37904","g_10470","g_15086","g_27314","g_22023","g_22971","g_24930","g_29251","g_41985","g_40484","g_02713","g_12311","g_14798","g_15106","g_35791","g_37755","g_39689","g_26961","g_34836","g_19549","g_19585","g_21270","g_24969","g_31164","g_56307","g_03874","g_00438","g_03176","g_16221","g_21195","g_47987","g_38705","g_14457","g_50943","g_51000","g_12493","g_15019","g_15716","g_16779","g_50706","g_10281","g_24670","g_32901","g_35739","g_38047","g_48049","g_34655","g_00204","g_06016","g_10137","g_34744","g_37985","g_07029","g_13632","g_23577","g_26647","g_39669"
"g_05066",1,0,0,0.942857142857143,0,0,1,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0.942857142857143,0,0,0,0.942857142857143,0,0.942857142857143,0.942857142857143,0,0,0.942857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0.942857142857143,1,0.942857142857143,0,0,0.942857142857143,0,0,0,0,1,0,0,0.942857142857143,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0
"g_06237",0,1,0,0,1,0,0,0,0.942857142857143,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_10542",0,0,1,0,0,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.942857142857143,0.942857142857143,0,0,0.942857142857143
"g_10722",0.942857142857143,0.828571428571429,0,1,0,0,0.942857142857143,0,0.942857142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942857142857143,0,0.942857142857143,0,0,0,0.942857142857143,0,0,0,0.942857142857143,0,0,0,0.942857142857143,0,0.942857142857143,0.942857142857143,0,0,0,0,0.942857142857143,0.942857142857143,0,0.942857142857143,1,0,0,0,0,0,0,0,0,0,0,0.942857142857143,0,0.942857142857143,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0.942857142857143,0.942857142857143,0
"g_14330",0,1,0,0.828571428571429,1,0,0,0,0.942857142857143,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_14403",0,0.828571428571429,0.885714285714286,0,0.828571428571429,1,0,0,0,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.942857142857143
"g_19622",1,0,0,0.942857142857143,0,0,1,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0.942857142857143,0,0,0,0.942857142857143,0,0.942857142857143,0.942857142857143,0,0,0.942857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0.942857142857143,1,0.942857142857143,0,0,0.942857142857143,0,0,0,0,1,0,0,0.942857142857143,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0
"g_20098",0,0.885714285714286,0.828571428571429,0.885714285714286,0.885714285714286,0.885714285714286,0,1,0.942857142857143,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0.942857142857143,0.942857142857143,0,0,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942857142857143
"g_23781",0.885714285714286,0.942857142857143,0,0.942857142857143,0.942857142857143,0,0.885714285714286,0.942857142857143,1,0,0,0,0.942857142857143,0,0,0,0,0,0.942857142857143,0,0,0,0,0.942857142857143,0.942857142857143,0,0,0,0.942857142857143,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0.942857142857143,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0.942857142857143,0,0,0,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_27359",0,0,0,0,0,0,0,0,0,1,0,0.942857142857143,0,1,0,0,0,0,0,0.942857142857143,0,0.942857142857143,0,0,0,0,0,0,0,0,0.942857142857143,0,1,0,0.942857142857143,0,0,1,0,0,1,0,0,0,0,0,0,0,0.942857142857143,0,0,0,0,0.942857142857143,0,0,0,1,0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
