node_idtdegreetweight_degreetcloseness_centralitytbetweenness_centralityteigenvector_centrality
fliC, hag (g_05066)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718829
fliM (g_06237)t24t21.0857142857143t0.00753498385360603t25.919671756586t0.299035228533694
flhF (g_10542)t24t21.3714285714286t0.00723589001447178t13.8895963648479t0.246710429593419
fliI (g_10722)t39t35.5714285714286t0.00868701911144204t32.2684711225353t0.840576037230753
flhB (g_14330)t24t21.0857142857143t0.00753498385360603t25.919671756586t0.299035228533694
fliC, hag (g_14403)t26t22.7428571428571t0.00698463380562762t36.2763069748t0.232782563031724
motB (g_19622)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718828
pilA (g_20098)t33t29.1714285714286t0.00807940904893813t52.3980322354579t0.491730974473353
mcp (g_23781)t36t32.1142857142857t0.00818905007019186t58.746986670763t0.697971935544488
flgK (g_27359)t34t30.5714285714286t0.00775881179339393t21.1005264156592t0.685778651301622
fliC, hag (g_27535)t26t23.6t0.00740584003385527t34.3265523522356t0.385281066112857
fliD (g_31812)t26t23.8857142857143t0.00726141078838174t21.8719965986705t0.40081787704646
cheV (g_33340)t39t35.5714285714286t0.00868701911144204t32.2684711225353t0.840576037230753
mcp (g_34069)t34t30.5714285714286t0.00775881179339393t21.1005264156592t0.685778651301622
motA (g_35105)t23t20.3142857142857t0.0074754378470739t53.8161471171843t0.350262668632828
fliC, hag (g_50142)t32t28.0571428571429t0.00781075652756081t39.6028966868246t0.650870390080832
pilA (g_52123)t26t22.9142857142857t0.00689383494189483t16.7233279921801t0.237134226496338
fliC, hag (g_55742)t24t21.3714285714286t0.00723589001447178t13.8895963648479t0.246710429593419
xylS, yicI (g_02228)t38t33.8285714285714t0.00779683671196258t45.1490066065663t0.57597124607219
ETFDH (g_06075)t26t23.8857142857143t0.00726141078838174t21.8719965986705t0.400817877046461
apbE (g_08790)t24t21.3714285714286t0.00723589001447178t13.8895963648479t0.24671042959342
ahpF (g_11466)t42t38.1142857142857t0.00867625185919683t68.7995096566154t0.862734424270658
zntA (g_17469)t35t31.9714285714286t0.00828206341694273t36.1392140242397t0.753638400537806
fpr (g_22259)t33t29.1714285714286t0.00807940904893813t52.3980322354579t0.491730974473353
apbE (g_23268)t38t33.8285714285714t0.00779683671196258t45.1490066065663t0.57597124607219
tatD (g_23444)t35t31.9714285714286t0.00828206341694273t36.1392140242397t0.753638400537807
E1.11.1.5 (g_37021)t24t21.3714285714286t0.00723589001447178t13.8895963648479t0.246710429593419
E1.11.1.5 (g_37045)t20t17.3714285714286t0.00682926829268293t15.3366187506272t0.159616449334937
fpr (g_37904)t38t33.8285714285714t0.00779683671196258t45.1490066065663t0.57597124607219
fabB (g_10470)t45t40.4285714285714t0.00835721107927412t22.4605253979639t1
fabF, OXSM, CEM1 (g_15086)t33t29.2857142857143t0.00813386009760632t68.7909908877036t0.521213627511
accD (g_27314)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718828
HSP90A, htpG (g_22023)t34t30.5714285714286t0.00775881179339393t21.1005264156592t0.685778651301622
argG, ASS1 (g_22971)t33t29.1714285714286t0.00807940904893813t52.3980322354579t0.491730974473353
