node_idtdegreetweight_degreetcloseness_centralitytbetweenness_centralityteigenvector_centrality
HSP90A, htpG (g_22023)t8t7.37142857142857t0.0246132208157525t9.86904761904762t0.40395296610625
fliM (g_06237)t8t7.42857142857143t0.0275157232704402t24.1071428571429t0.585161363902528
dnaK, HSPA9 (g_03874)t8t7.37142857142857t0.0246132208157525t9.86904761904762t0.40395296610625
clpB (g_37568)t13t11.3428571428571t0.03125t23.3214285714286t0.878606551334461
dnaK, HSPA9 (g_38292)t8t6.97142857142857t0.0270897832817337t5.03571428571429t0.530300542259677
dnaK, HSPA9 (g_55811)t14t12.8t0.0326492537313433t14.8857142857143t1
ftsZ (g_18026)t5t4.88571428571429t0.0182863113897597t1.875t0.157215308420528
mutS (g_50943)t12t10.6285714285714t0.0310834813499112t18.9892857142857t0.846475493520787
fxsA (g_55969)t14t12.8t0.0326492537313433t14.8857142857143t1
gcl (g_17714)t9t8.02857142857143t0.0269645608628659t4.71428571428571t0.700549870582292
nosZ (g_11709)t7t6.54285714285714t0.025t5.98571428571429t0.498473397942844
NRT, narK, nrtP, nasA (g_19066)t0t0tNAt0t1.21242174500688e-17
lon (g_09747)t14t12.8t0.0326492537313433t14.8857142857143t1
lon (g_13500)t8t7.37142857142857t0.0246132208157525t9.86904761904762t0.40395296610625
lon (g_49435)t12t10.6285714285714t0.0310834813499112t18.9892857142857t0.846475493520787
dctS (g_26479)t2t1.77142857142857t0.0169245647969052t0t0.0587266350012675
rlmI (g_06016)t4t3.54285714285714t0.0207591933570581t1t0.232977944551936
pilA (g_20098)t9t8.02857142857143t0.0269645608628659t4.71428571428571t0.700549870582292
pilA (g_22211)t2t1.71428571428571t0.0172924901185771t0t0.0555844616605098
pilA (g_31469)t10t9.25714285714286t0.0281576830249397t25.5t0.819354604245824
pilA (g_52123)t9t8.25714285714286t0.0247349823321555t44.6428571428571t0.555462497216987
TC.FEV.OM (g_05533)t5t4.88571428571429t0.0182863113897597t1.875t0.157215308420528
ABC.SN.S (g_17014)t7t6.54285714285714t0.025t5.98571428571429t0.498473397942844
ABC.SN.S (g_30450)t3t2.71428571428571t0.0196739741427768t8t0.0900864939279317
yccA (g_41543)t7t6.48571428571429t0.0255661066471877t0t0.58320099399078
