"","urtA (g_08424)","rbsA (g_37285)","aotJ (g_41760)","mlaC (g_44293)","livG (g_45014)","livF (g_45827)","afuA, fbpA (g_48211)","livG (g_51175)","livK (g_51665)","TARS, thrS (g_53054)","garD (g_40627)","cheV (g_56858)","recA (g_55424)","bfr (g_45324)","ribA, RIB1 (g_44444)","fliC, hag (g_50908)","rpoH (g_03149)","cspA (g_43147)","rpoE (g_51509)","norR (g_53435)","rpoS (g_53444)","rpoD (g_54509)"
"urtA (g_08424)",1,0,0,0,-0.885714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rbsA (g_37285)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aotJ (g_41760)",0,0,1,0,0,0,0,0,0,0,0,0.942857142857143,0,0.942857142857143,0.885714285714286,0.885714285714286,0,0,0,0.942857142857143,0.885714285714286,0.885714285714286
"mlaC (g_44293)",0,0,0.828571428571429,1,0,0,1,0.942857142857143,0.942857142857143,1,-1,0,1,0.942857142857143,0.885714285714286,0.885714285714286,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,0.885714285714286,0.885714285714286
"livG (g_45014)",-0.885714285714286,0,0,0,1,0.885714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"livF (g_45827)",-0.828571428571429,0.828571428571429,0,0,0.885714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"afuA, fbpA (g_48211)",0,0,0.828571428571429,1,0,0,1,0.942857142857143,0.942857142857143,1,-1,0,1,0.942857142857143,0.885714285714286,0.885714285714286,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,0.885714285714286,0.885714285714286
"livG (g_51175)",0,0.828571428571429,0,0.942857142857143,0,0,0.942857142857143,1,1,0.942857142857143,-0.942857142857143,0,0.942857142857143,0.885714285714286,0.942857142857143,0.942857142857143,1,1,1,0.885714285714286,0.942857142857143,0.942857142857143
"livK (g_51665)",0,0.828571428571429,0,0.942857142857143,0,0,0.942857142857143,1,1,0.942857142857143,-0.942857142857143,0,0.942857142857143,0.885714285714286,0.942857142857143,0.942857142857143,1,1,1,0.885714285714286,0.942857142857143,0.942857142857143
"TARS, thrS (g_53054)",0,0,0.828571428571429,1,0,0,1,0.942857142857143,0.942857142857143,1,-1,0,1,0.942857142857143,0.885714285714286,0.885714285714286,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,0.885714285714286,0.885714285714286
"garD (g_40627)",0,0,-0.828571428571429,-1,0,0,-1,-0.942857142857143,-0.942857142857143,-1,1,0,-1,-0.942857142857143,-0.885714285714286,-0.885714285714286,-0.942857142857143,-0.942857142857143,-0.942857142857143,-0.942857142857143,-0.885714285714286,-0.885714285714286
"cheV (g_56858)",0,0,0.942857142857143,0,0,0,0,0.828571428571429,0.828571428571429,0,0,1,0,0.885714285714286,0.942857142857143,0.942857142857143,0,0,0,0.885714285714286,0.942857142857143,0.942857142857143
"recA (g_55424)",0,0,0.828571428571429,1,0,0,1,0.942857142857143,0.942857142857143,1,-1,0,1,0.942857142857143,0.885714285714286,0.885714285714286,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,0.885714285714286,0.885714285714286
"bfr (g_45324)",0,0,0.942857142857143,0.942857142857143,0,0,0.942857142857143,0.885714285714286,0.885714285714286,0.942857142857143,-0.942857142857143,0.885714285714286,0.942857142857143,1,0.942857142857143,0.942857142857143,0.885714285714286,0.885714285714286,0.885714285714286,1,0.942857142857143,0.942857142857143
"ribA, RIB1 (g_44444)",0,0,0.885714285714286,0.885714285714286,0,0,0.885714285714286,0.942857142857143,0.942857142857143,0.885714285714286,-0.885714285714286,0.942857142857143,0.885714285714286,0.942857142857143,1,1,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,1,1
"fliC, hag (g_50908)",0,0,0.885714285714286,0.885714285714286,0,0,0.885714285714286,0.942857142857143,0.942857142857143,0.885714285714286,-0.885714285714286,0.942857142857143,0.885714285714286,0.942857142857143,1,1,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,1,1
"rpoH (g_03149)",0,0.828571428571429,0,0.942857142857143,0,0,0.942857142857143,1,1,0.942857142857143,-0.942857142857143,0.828571428571429,0.942857142857143,0.885714285714286,0.942857142857143,0.942857142857143,1,1,1,0.885714285714286,0.942857142857143,0.942857142857143
"cspA (g_43147)",0,0.828571428571429,0,0.942857142857143,0,0,0.942857142857143,1,1,0.942857142857143,-0.942857142857143,0.828571428571429,0.942857142857143,0.885714285714286,0.942857142857143,0.942857142857143,1,1,1,0.885714285714286,0.942857142857143,0.942857142857143
"rpoE (g_51509)",0,0.828571428571429,0,0.942857142857143,0,0,0.942857142857143,1,1,0.942857142857143,-0.942857142857143,0.828571428571429,0.942857142857143,0.885714285714286,0.942857142857143,0.942857142857143,1,1,1,0.885714285714286,0.942857142857143,0.942857142857143
"norR (g_53435)",0,0,0.942857142857143,0.942857142857143,0,0,0.942857142857143,0.885714285714286,0.885714285714286,0.942857142857143,-0.942857142857143,0.885714285714286,0.942857142857143,1,0.942857142857143,0.942857142857143,0.885714285714286,0.885714285714286,0.885714285714286,1,0.942857142857143,0.942857142857143
"rpoS (g_53444)",0,0,0.885714285714286,0.885714285714286,0,0,0.885714285714286,0.942857142857143,0.942857142857143,0.885714285714286,-0.885714285714286,0.942857142857143,0.885714285714286,0.942857142857143,1,1,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,1,1
"rpoD (g_54509)",0,0,0.885714285714286,0.885714285714286,0,0,0.885714285714286,0.942857142857143,0.942857142857143,0.885714285714286,-0.885714285714286,0.942857142857143,0.885714285714286,0.942857142857143,1,1,0.942857142857143,0.942857142857143,0.942857142857143,0.942857142857143,1,1
