"","g_31605","g_15657","g_47256","g_00200","g_00523","g_00551","g_00535","g_02650","g_03783","g_05526","g_11409","g_12532","g_13558","g_16531","g_23830","g_24869","g_25451","g_25531","g_30471","g_35091","g_48405","g_48642","g_16634","g_32060","g_34327"
"g_31605",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_15657",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_47256",0,0.828571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_00200",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_00523",-0.94112394811432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_00551",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_00535",0,0.828571428571429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_02650",0,0,0,0,-0.880406274042429,0,0.942857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_03783",0,0,0,0,0,-0.823193208684042,0.869656553478673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_05526",0,0.828571428571429,0,0,0,-0.845154254728517,0.885714285714286,0,0.927633657043918,1,0.985610760609162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_11409",0,0,0,0,0,-0.823193208684042,0.927633657043918,0,0.941176470588235,0.985610760609162,1,0.985610760609162,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_12532",0,0,0,0,0,0,0.942857142857143,0.828571428571429,0.927633657043918,0.942857142857143,0.985610760609162,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_13558",0,0,0,0,0,0,0.942857142857143,0.885714285714286,0.927633657043918,0.828571428571429,0.869656553478673,0.885714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0
"g_16531",0,0,0,0,0,0,0,0,0.857492925712544,0,0,0,0.845154254728517,1,0,0,0,0,0,0,0,0,0,0,0
"g_23830",0,-0.885714285714286,0,-0.845154254728517,0,0.845154254728517,-0.885714285714286,0,0,-0.828571428571429,-0.811679449913428,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"g_24869",0,0,0,0,-0.880406274042429,0,0.885714285714286,0.942857142857143,0,0,0,0,0.942857142857143,0.845154254728517,0,1,0,0,1,0,0,0,0,0,0
"g_25451",0,0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"g_25531",0,0.942857142857143,0,0,0,-0.845154254728517,0.942857142857143,0.828571428571429,0.869656553478673,0.942857142857143,0.927633657043918,0.885714285714286,0.885714285714286,0,-0.942857142857143,0,0.828571428571429,1,0,0,0,0,0,0,0
"g_30471",0,0,0,0,-0.880406274042429,0,0.885714285714286,0.942857142857143,0,0,0,0,0.942857142857143,0.845154254728517,0,1,0,0,1,0,0,0,0,0,0
"g_35091",0,0.942857142857143,0,0,-0.880406274042429,0,0,0.828571428571429,0,0,0,0,0,0,0,0,0.885714285714286,0.828571428571429,0,1,0,0,0,0,0
"g_48405",0,0.927633657043918,0.927633657043918,0,-0.831655489905492,0,0,0,0,0,0,0,0.811679449913428,0.857492925712544,0,0.811679449913428,0.869656553478673,0.84066800169605,0.811679449913428,0.927633657043918,1,0,0,0,0
"g_48642",0,0,0,0,0,0,0,0.869656553478673,0,0,0,0,0,0.857492925712544,0,0.927633657043918,0,0,0.927633657043918,0,0,1,0,0,0
"g_16634",0,0,-0.942857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.811679449913428,0,1,0,0
"g_32060",0,-0.845154254728517,-0.845154254728517,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.845154254728517,0,0,0,-0.823193208684042,0,0.845154254728517,1,0
"g_34327",-0.885714285714286,0,0,0,0.880406274042429,0,0,0,0,0,0,0,0,0,0,-0.828571428571429,0,0,-0.828571428571429,0,0,0,0,0,1
