"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]",3.724,4.134,3.288,16.536,25.011,19.485,0.020748451279598,5.47568634487709,20.344
"ATP-dependent Clp protease ATP-binding subunit ClpB",51.0655833333333,49.8215,53.3805416666667,24.267,22.5601666666667,25.763,4.50819214679266e-05,0.470546990443826,24.1967222222222
"ATP-dependent Lon protease [EC:3.4.21.53]",235.9325,218.360375,238.24225,107.363125,97.54625,135.072,0.00231476416859542,0.49092293333136,113.327125
"attachment invasion locus protein",6.126,4.129,5.707,35.801,31.7165,28.076,0.00446920364152848,5.98881719082822,31.8645
"cell division protease FtsH [EC:3.4.24.-]",89.3788571428572,84.6758571428571,93.2315,24.9154285714286,23.4514285714286,30.5394285714286,5.042955597998e-05,0.295212702702053,26.3020952380952
"Fur family transcriptional regulator, zinc uptake regulator",155.584,126.118,156.301,41.082,35.029,72.895,0.00363114859771246,0.340194016935957,49.6686666666667
"hemoglobin",53.648,56.3166666666667,60.449,34.808,18.448,31.0356666666667,0.017514754901124,0.494629734313171,28.0972222222222
"molecular chaperone DnaK",95.198625,90.8528125,97.22709375,38.88634375,43.93625,44.65115625,3.81644672407656e-05,0.449994390459125,42.49125
"molecular chaperone Hsp33",180.231,171.303333333333,182.857,93.767,67.5856666666667,99.8396666666667,0.00635667871470205,0.48876603537732,87.0641111111111
"nitrogen fixation protein NifU and related proteins",6.344,8.652,10.013,58.286,51.021,36.243,0.0226207715335453,5.81990483425967,48.5166666666667
