lfcSE_BvsD,stat_BvsD,pvalue_BvsD,padj_BvsD,B_DEGs_label.x,Y_DEGs_label.x,Cluster,gene_id
1.200879233,3.806631206,0.000140873,0.000380642,1,0,1,g_00003
1.223882705,4.98335691,6.25E-07,2.82E-06,1,0,2,g_00005
0.93059805,4.141741933,3.45E-05,0.000107235,1,0,1,g_00006
0.329013045,-13.60195203,3.90E-42,3.81E-40,1,0,3,g_00011
1.007484639,5.831158523,5.50E-09,3.60E-08,1,0,2,g_00012
1.001749288,5.443147543,5.23E-08,2.91E-07,1,0,2,g_00014
0.615552155,9.610585049,7.21E-22,1.94E-20,1,0,2,g_00015
1.061939664,5.499636918,3.81E-08,2.16E-07,1,0,2,g_00016
1.504305303,4.541304126,5.59E-06,2.06E-05,1,0,1,g_00017
1.208483086,5.939229226,2.86E-09,1.97E-08,1,0,2,g_00022
0.743748548,6.194446911,5.85E-10,4.50E-09,1,0,2,g_00023
1.082962106,4.714395742,2.42E-06,9.70E-06,1,0,2,g_00028
0.48349861,2.320564654,0.020310352,0.032329843,1,0,1,g_00035
0.973783864,5.406074959,6.44E-08,3.52E-07,1,0,2,g_00036
0.526073798,-2.678139026,0.007403248,0.013121941,1,0,4,g_00041
0.837595113,4.016009603,5.92E-05,0.000174505,1,0,1,g_00042
0.769974215,7.075022193,1.49E-12,1.64E-11,1,0,2,g_00044
1.43940675,3.899265475,9.65E-05,0.000270836,1,0,1,g_00045
1.028149707,5.363498908,8.16E-08,4.38E-07,1,0,2,g_00048
0.769216976,7.003822135,2.49E-12,2.66E-11,1,0,2,g_00049
0.920851668,4.871466007,1.11E-06,4.76E-06,1,0,2,g_00051
1.197344641,5.512964365,3.53E-08,2.02E-07,1,0,2,g_00054
1.302277639,4.733398815,2.21E-06,8.90E-06,1,0,2,g_00056
0.633257622,5.863416854,4.53E-09,3.02E-08,1,0,2,g_00060
0.742578638,5.268632678,1.37E-07,7.06E-07,1,0,2,g_00063
0.451008925,-12.5041957,7.08E-36,4.59E-34,1,0,3,g_00066
1.601367528,2.792954382,0.005222906,0.009622344,1,0,1,g_00068
0.784637165,8.682950159,3.86E-18,7.66E-17,1,0,2,g_00071
0.292775277,-17.17876936,3.83E-66,2.11E-63,1,0,5,g_00074
0.644678983,-2.440405291,0.014670792,0.024196592,1,0,4,g_00075
1.666961734,5.822177262,5.81E-09,3.79E-08,1,0,2,g_00077
0.532289045,-4.604591935,4.13E-06,1.57E-05,1,0,4,g_00078
1.026428822,2.347889157,0.018880139,0.030278557,1,0,1,g_00081
1.027865298,4.040505088,5.33E-05,0.000158957,1,0,1,g_00082
0.784059272,6.230319071,4.65E-10,3.63E-09,1,0,2,g_00083
0.800664084,4.245008003,2.19E-05,7.10E-05,1,0,1,g_00089
0.394123039,-13.75241589,4.93E-43,5.17E-41,1,0,3,g_00091
0.398187014,-10.21821867,1.64E-24,5.28E-23,1,0,6,g_00092
0.734172737,3.173436894,0.001506456,0.003176185,1,0,1,g_00093
1.075419756,4.489793564,7.13E-06,2.57E-05,1,0,1,g_00094
0.828850644,6.447104072,1.14E-10,9.77E-10,1,0,2,g_00095
1.599340219,6.443695949,1.17E-10,9.97E-10,1,0,2,g_00096
0.46602455,-4.049776869,5.13E-05,0.000153444,1,0,4,g_00097
1.573506859,5.959135155,2.54E-09,1.76E-08,1,0,2,g_00098
1.395590731,3.493691805,0.000476391,0.001132865,1,0,1,g_00099
0.537776331,3.504032554,0.000458269,0.00109448,1,0,1,g_00105
0.585417019,-3.675159006,0.000237701,0.000608324,1,0,4,g_00106
0.957136442,5.663244709,1.49E-08,9.05E-08,1,0,2,g_00110
0.512158789,4.016413599,5.91E-05,0.000174244,1,0,1,g_00111
0.769160626,10.4506237,1.46E-25,5.03E-24,1,0,2,g_00112
1.177701236,4.608966941,4.05E-06,1.54E-05,1,0,2,g_00113
1.176134514,5.098306659,3.43E-07,1.63E-06,1,0,2,g_00115
1.222044282,4.64631592,3.38E-06,1.31E-05,1,0,2,g_00116
1.352967849,4.092425403,4.27E-05,0.000130004,1,0,1,g_00117
0.46371649,2.911444059,0.003597623,0.006901259,1,0,1,g_00118
0.935183672,3.428240842,0.000607506,0.001406893,1,0,1,g_00120
0.88036708,6.984734101,2.85E-12,3.02E-11,1,0,2,g_00121
1.313909633,4.01799076,5.87E-05,0.000173137,1,0,1,g_00122
0.757787411,7.219432285,5.22E-13,6.08E-12,1,0,2,g_00123
0.543169895,-4.011652025,6.03E-05,0.00017754,1,0,4,g_00124
1.300209304,5.893297231,3.79E-09,2.55E-08,1,0,2,g_00126
1.064875662,4.984805775,6.20E-07,2.80E-06,1,0,2,g_00128
0.581553453,2.287477887,0.022167945,0.034969036,1,0,1,g_00130
0.927735617,5.384918996,7.25E-08,3.93E-07,1,0,2,g_00133
1.182421716,2.357529533,0.018396992,0.02961128,1,0,1,g_00134
0.498112763,2.16402584,0.030462366,0.046392945,1,0,1,g_00135
0.41423028,-14.10748803,3.42E-45,4.12E-43,1,0,3,g_00136
0.429169924,-10.46448073,1.26E-25,4.38E-24,1,0,6,g_00137
1.722151494,5.575454078,2.47E-08,1.45E-07,1,0,2,g_00141
1.436645585,4.382135586,1.18E-05,4.05E-05,1,0,1,g_00145
1.062805419,4.841077812,1.29E-06,5.47E-06,1,0,2,g_00146
0.43561173,-5.294164199,1.20E-07,6.22E-07,1,0,4,g_00147
1.588707822,2.498786016,0.012461953,0.020930455,1,0,1,g_00148
1.183157161,5.764262088,8.20E-09,5.23E-08,1,0,2,g_00151
1.02455733,4.764388803,1.89E-06,7.76E-06,1,0,2,g_00152
1.219182099,4.271467513,1.94E-05,6.38E-05,1,0,1,g_00154
1.263673505,3.802339733,0.000143336,0.00038656,1,0,1,g_00155
1.748429724,2.797790751,0.005145343,0.009495932,1,0,1,g_00156
0.774578076,7.505748516,6.11E-14,7.88E-13,1,0,2,g_00159
0.942324146,7.325301586,2.38E-13,2.90E-12,1,0,2,g_00160
1.633487269,5.980075854,2.23E-09,1.56E-08,1,0,2,g_00161
0.657986499,12.08545218,1.26E-33,7.17E-32,1,0,7,g_00162
1.416442307,6.515908018,7.23E-11,6.37E-10,1,0,2,g_00166
0.817709944,3.452103078,0.000556235,0.001300931,1,0,1,g_00167
0.458225322,2.629108016,0.008560916,0.014937823,1,0,1,g_00169
1.575034002,4.044783974,5.24E-05,0.000156377,1,0,1,g_00171
1.700207393,4.158355127,3.21E-05,0.000100278,1,0,1,g_00172
1.159391329,7.177390992,7.11E-13,8.14E-12,1,0,2,g_00175
1.408510046,4.685927031,2.79E-06,1.10E-05,1,0,1,g_00176
1.065432096,4.637877913,3.52E-06,1.36E-05,1,0,2,g_00179
0.422237739,-13.44576127,3.26E-41,2.97E-39,1,0,3,g_00183
1.568959652,4.725557142,2.29E-06,9.23E-06,1,0,1,g_00184
0.791565714,-2.308900038,0.020949129,0.033241595,1,0,4,g_00185
0.774570658,8.264321287,1.40E-16,2.41E-15,1,0,2,g_00193
1.099963414,3.366455593,0.000761408,0.001724307,1,0,1,g_00194
0.379046016,-2.876469696,0.004021508,0.007621931,1,0,4,g_00196
1.061368865,3.893128508,9.90E-05,0.000277031,1,0,1,g_00197
0.936136107,6.267625391,3.67E-10,2.90E-09,1,0,2,g_00198
1.448037515,7.44621232,9.61E-14,1.21E-12,1,0,2,g_00200
0.888133278,5.446915121,5.13E-08,2.85E-07,1,0,2,g_00201
1.027348323,5.169711547,2.34E-07,1.15E-06,1,0,2,g_00202
0.355143443,-9.884199159,4.87E-23,1.42E-21,1,0,6,g_00204
1.545153302,6.199846695,5.65E-10,4.35E-09,1,0,2,g_00206
1.238257948,6.007913256,1.88E-09,1.33E-08,1,0,2,g_00210
0.870390598,7.436817329,1.03E-13,1.30E-12,1,0,2,g_00216
0.849397566,6.781318799,1.19E-11,1.16E-10,1,0,2,g_00219
1.121643116,3.46778166,0.000524773,0.001235042,1,0,1,g_00220
0.66375313,4.225462232,2.38E-05,7.68E-05,1,0,1,g_00223
0.967095425,7.19042017,6.46E-13,7.44E-12,1,0,2,g_00226
0.593162827,3.365138772,0.000765052,0.001731989,1,0,1,g_00230
1.627017954,3.351571476,0.000803543,0.001808194,1,0,1,g_00231
0.678448055,-4.060996288,4.89E-05,0.000146921,1,0,4,g_00232
1.815269324,4.973879375,6.56E-07,2.95E-06,1,0,1,g_00233
0.635954303,9.24337253,2.39E-20,5.71E-19,1,0,2,g_00236
0.827119735,7.385315641,1.52E-13,1.88E-12,1,0,2,g_00238
0.833183444,6.619590764,3.60E-11,3.31E-10,1,0,2,g_00241
1.147190132,4.203584534,2.63E-05,8.37E-05,1,0,1,g_00242
0.544209956,2.358971644,0.018325656,0.029519705,1,0,1,g_00243
0.584079071,2.799884032,0.005112097,0.009440889,1,0,1,g_00250
1.283268074,2.550290403,0.010763322,0.018345748,1,0,1,g_00251
0.938709168,7.409186261,1.27E-13,1.59E-12,1,0,2,g_00252
1.089252792,5.252538403,1.50E-07,7.65E-07,1,0,2,g_00253
1.598612068,6.319606773,2.62E-10,2.13E-09,1,0,2,g_00254
0.629772662,-2.636388475,0.008379374,0.014656734,1,0,4,g_00255
1.637170202,3.204732293,0.001351882,0.002881323,1,0,1,g_00256
