"Gene_ID","Kmeans_Cluster"
"g_00005","5"
"g_00016","6"
"g_00028","5"
"g_00048","12"
"g_00071","11"
"g_00083","8"
"g_00096","15"
"g_00098","1"
"g_00120","15"
"g_00121","6"
"g_00123","12"
"g_00126","8"
"g_00128","6"
"g_00133","15"
"g_00141","22"
"g_00146","6"
"g_00152","15"
"g_00155","15"
"g_00160","15"
"g_00166","22"
"g_00179","16"
"g_00184","12"
"g_00198","22"
"g_00200","5"
"g_00201","12"
"g_00216","16"
"g_00219","8"
"g_00241","4"
"g_00243","18"
"g_00253","15"
"g_00254","8"
"g_00260","15"
"g_00287","5"
"g_00305","6"
"g_00366","1"
"g_00372","15"
"g_00382","12"
"g_00383","6"
"g_00386","12"
"g_00387","1"
"g_00392","8"
"g_00400","4"
"g_00406","1"
"g_00425","15"
"g_00434","11"
"g_00435","12"
"g_00441","6"
"g_00443","14"
"g_00459","18"
"g_00460","6"
"g_00470","8"
"g_00472","1"
"g_00477","15"
"g_00486","22"
"g_00490","2"
"g_00511","16"
"g_00523","5"
"g_00535","13"
"g_00543","5"
"g_00547","8"
"g_00551","5"
"g_00574","2"
"g_00583","1"
"g_00598","6"
"g_00603","18"
"g_00610","12"
"g_00611","22"
"g_00630","22"
"g_00632","8"
"g_00640","8"
"g_00648","11"
"g_00653","6"
"g_00676","8"
"g_00679","8"
"g_00685","8"
"g_00693","8"
"g_00701","8"
"g_00778","6"
"g_00789","7"
"g_00810","15"
"g_00812","8"
"g_00813","8"
"g_00822","6"
"g_00834","8"
"g_00864","6"
"g_00892","22"
"g_00899","8"
"g_00907","11"
"g_00943","22"
"g_00970","18"
"g_00980","6"
"g_00982","1"
"g_00992","8"
"g_01014","24"
"g_01028","15"
"g_01041","1"
"g_01042","13"
"g_01043","5"
"g_01051","5"
"g_01052","9"
"g_01066","24"
"g_01078","6"
"g_01087","11"
"g_01105","6"
"g_01106","12"
"g_01112","16"
"g_01117","11"
"g_01131","5"
"g_01132","1"
"g_01136","15"
"g_01144","5"
"g_01145","8"
"g_01148","1"
"g_01152","8"
"g_01174","8"
"g_01182","1"
"g_01205","16"
"g_01208","22"
"g_01259","6"
"g_01271","6"
"g_01316","1"
