gene_id,tSNE1,tSNE2,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_00003,-16.06086698,-41.6156577,1.377279325,0.09184275,0.255622695,0.058517505,0.085031066,0.081331463,0.260896717,0.282656773,0.075472505
g_00005,-31.08300934,0.060241224,1.300204029,0.773937471,0.561199805,0.026672151,0.06928024,0,0,0,0
g_00006,-26.76617256,-8.308417507,1.117803295,0.573106453,0.500677546,0.01772432,0.095231439,0.153040673,0.022769321,0.092270682,0.118478017
g_00011,1.313442663,-51.8123628,1.405017056,1.487469855,1.459913223,2.621480319,2.555934851,2.699592322,2.593067754,2.484230528,2.552458149
g_00012,-31.48525645,18.0623622,1.704062224,0.90369958,0.943437925,0.030557221,0.183887384,0.014641906,0.024234788,0.080983443,0.027464181
g_00014,-31.49645521,8.88069115,1.384356103,0.861954762,0.798093438,0,0.052319495,0.128034295,0.140893772,0.045894619,0.066343819
g_00015,-26.17279153,12.41793199,1.2983589,0.924632162,1.015290917,0.027037946,0.06221183,0.059367241,0.019204803,0.064554197,0.012315336
g_00016,-40.26555224,-0.483223834,1.230568464,0.967090931,0.995614839,0.103708645,0.017424029,0.021707661,0.351116901,0.497513064,0.018412954
g_00017,-14.47923769,-28.67927889,0.974000601,0.436402477,0.395888951,0,0,0.020758514,0,0.071266198,0.023988695
g_00022,-31.8443085,1.989639637,1.41885872,0.590674235,0.642014758,0.027794277,0,0.021054854,0,0,0
g_00023,-20.51353579,-17.84687825,1.033530466,0.546753837,0.460332291,0.029645088,0.048686462,0.056891518,0.023505964,0.044414706,0.019915571
g_00028,-11.0523556,-23.14665732,0.832695364,0.514592906,0.477275402,0.04946147,0,0.021245133,0,0,0
g_00035,11.18258384,4.222437447,0.571447361,0.77239,0.686834248,0.310328734,0.307719118,0.426048092,0.351923601,0.44158863,0.422834656
g_00036,-30.22370392,10.25326928,1.372294332,0.922417867,0.829831554,0.02402609,0.08808858,0.110823291,0.092876023,0,0.063333359
g_00041,38.63541428,-2.670637909,0.566075999,0.315658045,0.285906854,0.588123966,0.58021128,0.538728147,0.455278176,0.501207472,0.643009668
g_00042,-10.14800803,-0.226551065,0.706729045,0.86340858,0.781865047,0.029713229,0.108934558,0.222526328,0.100723008,0.02200996,0.131360063
g_00044,-30.37353259,20.21638506,1.689618954,1.155581451,0.970278565,0.055661524,0.063245891,0.221568626,0.054761624,0.094282416,0.061397812
g_00045,-11.71879976,-27.81060835,0.935577997,0.500536561,0.321901316,0.027871671,0,0.023170945,0.054813687,0,0
g_00048,-47.86050659,-1.344970649,1.012896167,0.760080115,0.791099845,0.063281556,0.045052928,0,0.61734376,0.655050798,0.122994288
