"otu","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","Green1","Green2","Green3","Yellow1","Yellow2","Yellow3","Red1","Red2","Red3"
"OTU38",50.4011655470314,4.96468018068409,2,15,11,0,0,1,6,11,8,25,46,34,16,35,30
"OTU39",-15.5355347870826,13.4051680977875,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"OTU36",11.6160913478084,-30.433750613603,22,11,27,18,24,14,33,52,49,34,40,29,22,28,13
"OTU37",42.135948240255,4.15771888023134,13,16,11,9,9,3,9,14,15,20,16,10,8,14,16
"OTU34",-20.1214925539939,11.4363593821165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU35",20.7217607156743,27.7868312478262,3,3,2,0,2,2,2,2,2,2,7,3,2,6,2
"OTU32",-31.285971931644,14.6902414457093,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0
"OTU30",18.7304011028511,25.5625581884382,0,4,1,1,0,7,1,5,4,4,5,4,3,2,3
"OTU122",-14.9200740794342,2.61958796339353,0,0,2,0,1,0,0,0,2,0,0,0,1,0,0
"OTU83",-21.6044556165988,10.7700086622932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU82",-18.8455707745683,19.0625214462249,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
"OTU87",-18.3527915751691,12.3250737318514,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU86",39.5354213323097,6.46923399706711,7,14,11,2,5,2,8,7,12,12,11,16,11,9,9
"OTU84",25.9058073552166,25.2353409731926,4,2,2,2,2,2,5,4,6,3,2,3,8,7,6
"OTU89",18.9654716750172,27.6531961802833,1,3,2,1,2,3,3,2,3,4,4,4,2,2,0
"OTU14",-4.64938891683789,8.63847931977512,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"OTU15",14.9355405282602,-33.3875701711724,17,30,10,17,17,9,27,32,45,26,20,32,15,33,16
"OTU16",1.47116443311655,2.88933067063628,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
"OTU10",-12.2635449570846,6.52563195054788,2,0,2,0,0,0,1,0,1,0,1,0,0,1,0
"OTU11",-17.6099914251297,7.4256514069867,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"OTU12",5.43138526554781,-32.7839369652795,48,65,43,19,9,36,31,55,64,59,55,60,37,28,33
"OTU18",-9.48421962515821,10.1812863685439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU19",-27.0067810377832,12.3041457832193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"OTU98",14.4799107802669,-28.5012564118538,15,17,14,20,11,14,25,28,24,33,33,31,19,23,13
"OTU99",-0.237900900312009,6.13567305109457,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2
"OTU96",-22.0407198035073,-42.5369535129712,162,175,152,133,105,153,165,189,128,156,122,174,185,182,180
"OTU97",-19.8254873212323,-43.2307350515756,99,84,141,115,103,103,136,120,118,148,130,150,125,168,127
"OTU90",1.07413295095345,0.145505802943788,1,0,0,1,0,1,1,0,0,0,0,0,0,3,1
"OTU91",-7.91354223718767,17.6742333031376,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
"OTU93",-29.5436220174272,13.6929191061466,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
