"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_00003",47.1725300680123,-21.4256954103821,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_00005",44.6096546541462,-4.33481875025232,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_00006",38.3950199864263,-19.1077215968602,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_00011",-51.1015731350454,-1.37766944454537,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_00012",38.5665505021749,24.0284608037851,"Cluster 4","Cluster 5","Cluster 5","Cluster 2","Cluster 1"
"g_00014",43.9869656674208,8.9945869906699,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_00015",35.7717413848981,13.9360408996669,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_00016",33.409437239293,11.6933095869108,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_00017",34.7825747850005,-29.9268000020625,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_00022",43.8358884621848,-6.38033356163644,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_00023",32.376960133035,-24.9031173451162,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_00028",18.8256930422841,-38.6760764527729,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_00035",-7.30868528581497,-11.2022248375271,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_00036",42.7794785185537,10.4490353954018,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_00041",-11.9401081751428,15.1019272541602,"Cluster 7","Cluster 1","Cluster 3","Cluster 3","Cluster 3"
"g_00042",7.93083758045861,-14.5300778545749,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_00044",33.6531862675816,30.0856874731672,"Cluster 4","Cluster 5","Cluster 6","Cluster 6","Cluster 1"
"g_00045",30.7556027858551,-34.0882892145874,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
