"id","tSNE1","tSNE2","D2A","D3A","D1A","Y1A","Y2A","Y3A","degs","Cluster","ko_name","ko","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"B2A_k97_35924_1",30.429510689853,13.096541669947,0.157369907201034,0,0,0.0571715873654116,0.107209306330399,0.121413414994277,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"B2A_k97_48914_2",-10.771654819126,20.1210066746956,0.422758939022578,0.312958256189673,0.464235315231056,0.341225390029033,0.389518669861405,0.281571250623745,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"B3A_k97_41850_1",-18.358112264723,13.5491505042634,0.292426159392281,0.356050849451813,0.537256121603476,0.310629670478235,0.504400809018824,0.414412131771491,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_19409_2",6.05632632317514,20.9779219117947,0.32995718022336,0.431622722686496,0.396260581440022,0.238829398281639,0.411706434664042,0.152340038559279,"Yellow_vs_Dark","Cluster 5","fsn:GS03_01901","K02990","small subunit ribosomal protein S6","-","-","-","-","Genetic Information Processing","Translation","ko03010","Ribosome"
"G2A_k97_24176_2",-6.81651445132566,15.9575698004557,0.320135195459832,0.40030955034604,0.449804203155488,0.37034883157109,0.438866030348776,0.240035761516683,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_25392_2",7.11722918219003,14.8498263810333,0.319051441625979,0.340823004713747,0.35133266380793,0.203878694641807,0.409058209277049,0.269141499126388,"Yellow_vs_Dark","Cluster 5","sphz:E3D81_03330","K19784","chromate reductase, NAD(P)H dehydrogenase (quinone)","-","-","-","-","-","-","-","-"
"G2A_k97_36465_9",-3.63658470769642,21.3671925088819,0.439327934568365,0.412215104728547,0.405610254177234,0.360487103099044,0.395324580738094,0.226413075098894,"Yellow_vs_Dark","Cluster 5","fsn:GS03_02245","K01075","4-hydroxybenzoyl-CoA thioesterase [EC:3.1.2.23]","3.1.2.23","Hydrolases","-","-","Metabolism;Metabolism;Metabolism;Metabolism;Metabolism","Metabolism of cofactors and vitamins;Xenobiotics biodegradation and metabolism;Global and overview maps;Global and overview maps;Global and overview maps","ko00130;ko00362;ko01100;ko01110;ko01120","Ubiquinone and other terpenoid-quinone biosynthesis;Benzoate degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments"
"G2A_k97_38067_5",9.45711482601722,17.738613152667,0.318243642487654,0.366957575350658,0.485635447391661,0.198764020453961,0.427281297290286,0.254867255174247,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_438_3",-0.9584517722703,17.3254464721606,0.380206879201625,0.398697195387282,0.349401202171723,0.341225390029033,0.355488137826034,0.281571250623745,"Yellow_vs_Dark","Cluster 5","capf:FOC45_10150","K02988","small subunit ribosomal protein S5","-","-","-","-","Genetic Information Processing","Translation","ko03010","Ribosome"
"G2A_k97_56071_2",-22.0348080582846,16.6641664586383,0.148860856172816,0.375804417199288,0.58524617373605,0.298393727124729,0.45752561887081,0.351333847787969,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"G3A_k97_27415_1",27.7199753646896,13.3181128723103,0.0411516910729363,0.109468948126764,0,0.10998100197362,0.169653188076395,0.0864404624190149,"Yellow_vs_Dark","Cluster 5","pstu:UIB01_02965","K01775","alanine racemase [EC:5.1.1.1]","5.1.1.1","-","-","-","Metabolism;-;Human Diseases","Global and overview maps;-;Drug resistance: antimicrobial","ko01100;ko00473;ko01502","Metabolic pathways;-;Vancomycin resistance"
"R1A_k97_48942_2",-1.05711833724659,26.8978026388523,0.352794991549982,0.513101102401272,0.454347714797658,0.449766830281871,0.436558247642575,0.100481557967614,"Yellow_vs_Dark","Cluster 5","daa:AKL17_1592","K02019","molybdate transport system regulatory protein","-","-","-","-","-","-","-","-"
"R3A_k97_32813_3",-6.79329534964663,23.3594989147269,0.449329810500103,0.354038040840111,0.400044294753702,0.439860354901328,0.389845533842997,0.250803662745171,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
"Y3A_k97_4499_1",1.74658517445755,18.8290488734415,0.361167893937384,0.425324924253913,0.378414459245305,0.295578898538778,0.324033798287424,0.254867255174247,"Yellow_vs_Dark","Cluster 5","psa:PST_3191","K01056","peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]","3.1.1.29","Hydrolases","-","-","-","-","-","-"
"Y3A_k97_53768_3",-12.8750932505017,16.2479288629501,0.334586240821131,0.344178057480219,0.502000329643441,0.326709741191396,0.411843737220998,0.316300038617983,"Yellow_vs_Dark","Cluster 5","-","-","-","-","-","-","-","-","-","-","-"
