id,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
g_00001,0.125,47,0.112,32,0.145,29,0.104,0.108,N,0.45,SignalP-noTM
g_00002,0.16,41,0.134,41,0.147,3,0.115,0.124,N,0.45,SignalP-noTM
g_00003,0.255,21,0.412,21,0.897,12,0.693,0.524,Y,0.5,SignalP-TM
g_00004,0.224,21,0.284,21,0.528,2,0.348,0.319,N,0.45,SignalP-noTM
g_00005,0.186,26,0.17,26,0.307,5,0.169,0.17,N,0.45,SignalP-noTM
g_00006,0.326,26,0.562,17,0.988,10,0.974,0.784,Y,0.45,SignalP-noTM
g_00007,0.224,40,0.157,40,0.14,31,0.107,0.13,N,0.45,SignalP-noTM
g_00008,0.108,61,0.112,48,0.131,28,0.11,0.111,N,0.45,SignalP-noTM
g_00009,0.108,42,0.121,12,0.203,4,0.138,0.13,N,0.45,SignalP-noTM
g_00010,0.147,24,0.264,18,0.737,14,0.638,0.413,N,0.5,SignalP-TM
g_00011,0.173,27,0.242,13,0.631,8,0.523,0.394,N,0.45,SignalP-noTM
g_00012,0.134,38,0.126,38,0.189,34,0.113,0.119,N,0.45,SignalP-noTM
g_00013,0.169,20,0.139,20,0.148,14,0.114,0.126,N,0.45,SignalP-noTM
g_00014,0.112,23,0.144,23,0.356,20,0.185,0.166,N,0.45,SignalP-noTM
g_00015,0.126,22,0.131,19,0.168,5,0.139,0.135,N,0.45,SignalP-noTM
g_00016,0.112,28,0.106,28,0.116,56,0.101,0.103,N,0.45,SignalP-noTM
g_00017,0.514,44,0.338,44,0.391,43,0.181,0.253,N,0.45,SignalP-noTM
g_00018,0.146,57,0.125,57,0.133,53,0.097,0.11,N,0.45,SignalP-noTM
g_00019,0.109,12,0.104,49,0.118,42,0.097,0.1,N,0.45,SignalP-noTM
g_00020,0.13,38,0.118,38,0.171,8,0.114,0.116,N,0.45,SignalP-noTM
g_00021,0.134,51,0.117,22,0.129,1,0.103,0.109,N,0.45,SignalP-noTM
g_00022,0.421,36,0.385,36,0.479,39,0.3,0.351,N,0.5,SignalP-TM
g_00023,0.111,48,0.117,12,0.152,3,0.117,0.117,N,0.45,SignalP-noTM
g_00024,0.586,31,0.21,31,0.442,7,0.183,0.199,N,0.5,SignalP-TM
g_00025,0.106,58,0.105,12,0.122,24,0.098,0.102,N,0.45,SignalP-noTM
g_00026,0.123,23,0.147,12,0.242,2,0.169,0.159,N,0.45,SignalP-noTM
g_00027,0.111,65,0.112,58,0.134,41,0.102,0.107,N,0.45,SignalP-noTM
g_00028,0.11,69,0.106,30,0.114,28,0.101,0.103,N,0.45,SignalP-noTM
g_00029,0.113,31,0.108,23,0.153,8,0.109,0.109,N,0.45,SignalP-noTM
g_00030,0.112,21,0.107,48,0.109,34,0.097,0.102,N,0.45,SignalP-noTM
g_00031,0.111,54,0.106,54,0.109,41,0.097,0.101,N,0.45,SignalP-noTM
g_00032,0.169,19,0.142,19,0.183,32,0.117,0.129,N,0.45,SignalP-noTM
g_00033,0.244,29,0.313,29,0.554,12,0.4,0.36,N,0.45,SignalP-noTM
g_00034,0.113,42,0.107,58,0.123,14,0.1,0.103,N,0.45,SignalP-noTM
g_00035,0.141,42,0.197,42,0.468,34,0.199,0.198,N,0.5,SignalP-TM
g_00036,0.13,27,0.11,27,0.108,14,0.094,0.101,N,0.45,SignalP-noTM
g_00037,0.168,53,0.132,53,0.17,10,0.113,0.121,N,0.45,SignalP-noTM
g_00038,0.108,48,0.105,27,0.112,23,0.105,0.105,N,0.45,SignalP-noTM
g_00039,0.108,62,0.103,23,0.114,15,0.103,0.103,N,0.45,SignalP-noTM
g_00040,0.172,30,0.136,30,0.16,1,0.112,0.123,N,0.45,SignalP-noTM
