"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Blue1","Blue2","Blue3","degs","X.","Topology","Signalp","tmhmm","Cluster","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_00159",-23.8603921136672,39.8931613527448,0.0960892900196997,0.0916201849021355,0.459362628987193,1.99616496943266,1.74935237486449,1.69254375874909,"Blue_vs_Dark","N","Topology=o97-119i126-148o223-245i297-319o",0,1,"Cluster 2","K10256",2,9180,"Brite Hierarchies",9181,"Protein families: metabolism",1004,"Lipid biosynthesis proteins","K10256","FAD2","omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase)","[EC:1.14.19.6 1.14.19.22]"
"g_00159",-23.8603921136672,39.8931613527448,0.0960892900196997,0.0916201849021355,0.459362628987193,1.99616496943266,1.74935237486449,1.69254375874909,"Blue_vs_Dark","N","Topology=o97-119i126-148o223-245i297-319o",0,1,"Cluster 2","K10256",2,9100,"Metabolism",9103,"Lipid metabolism",1040,"Biosynthesis of unsaturated fatty acids","K10256","FAD2","omega-6 fatty acid desaturase / acyl-lipid omega-6 desaturase (Delta-12 desaturase)","[EC:1.14.19.6 1.14.19.22]"
"g_00216",-24.7524516037348,43.2657744235843,0.184278797021436,0.226837477908417,0.117805712511116,1.91590426832556,1.74061612506629,1.82126834812045,"Blue_vs_Dark","N","Topology=i211-233o270-292i",0,1,"Cluster 2","K17893",1,9190,"Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","K17893","AOX1, AOX2","ubiquinol oxidase","[EC:1.10.3.11]"
"g_00303",-30.8874565447284,33.4474043676394,0.0303778634659626,0.147332771188945,0.049280448015241,1.5716593100998,1.85580728744331,1.84082889419937,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K09274",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3000,"Transcription factors","K09274","K09274","HMG box factor, other","-"
"g_00407",-28.8686544079675,30.7562789201633,0.0388275248062032,0.0872712480389203,0.386613989307246,1.51376401428608,1.77370923752222,1.88278773854077,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01428",4,9100,"Metabolism",9111,"Xenobiotics biodegradation and metabolism",791,"Atrazine degradation","K01428","ureC","urease subunit alpha","[EC:3.5.1.5]"
"g_00407",-28.8686544079675,30.7562789201633,0.0388275248062032,0.0872712480389203,0.386613989307246,1.51376401428608,1.77370923752222,1.88278773854077,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01428",4,9100,"Metabolism",9105,"Amino acid metabolism",220,"Arginine biosynthesis","K01428","ureC","urease subunit alpha","[EC:3.5.1.5]"
"g_00407",-28.8686544079675,30.7562789201633,0.0388275248062032,0.0872712480389203,0.386613989307246,1.51376401428608,1.77370923752222,1.88278773854077,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01428",4,9100,"Metabolism",9104,"Nucleotide metabolism",230,"Purine metabolism","K01428","ureC","urease subunit alpha","[EC:3.5.1.5]"
"g_00407",-28.8686544079675,30.7562789201633,0.0388275248062032,0.0872712480389203,0.386613989307246,1.51376401428608,1.77370923752222,1.88278773854077,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01428",4,9160,"Human Diseases",9171,"Infectious disease: bacterial",5120,"Epithelial cell signaling in Helicobacter pylori infection","K01428","ureC","urease subunit alpha","[EC:3.5.1.5]"
"g_00443",-35.0829371952518,41.2872686498575,0.812869457274272,0.674429478131096,0.68141274982446,2.62454973165887,2.25937653154679,2.29859569922942,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02987",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","-"
"g_00443",-35.0829371952518,41.2872686498575,0.812869457274272,0.674429478131096,0.68141274982446,2.62454973165887,2.25937653154679,2.29859569922942,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02987",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","-"
"g_00443",-35.0829371952518,41.2872686498575,0.812869457274272,0.674429478131096,0.68141274982446,2.62454973165887,2.25937653154679,2.29859569922942,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02987",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","-"
"g_00467",-26.4785896294008,40.4032627041286,0.277943458024186,0.161399749498766,0.471143497451218,2.2135421830498,1.7081223326834,1.6702670847298,"Blue_vs_Dark","Y","Topology=o",1,0,"Cluster 2","K02358",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K02358","tuf, TUFM","elongation factor Tu","-"
"g_00467",-26.4785896294008,40.4032627041286,0.277943458024186,0.161399749498766,0.471143497451218,2.2135421830498,1.7081223326834,1.6702670847298,"Blue_vs_Dark","Y","Topology=o",1,0,"Cluster 2","K02358",4,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3029,"Mitochondrial biogenesis","K02358","tuf, TUFM","elongation factor Tu","-"
"g_00467",-26.4785896294008,40.4032627041286,0.277943458024186,0.161399749498766,0.471143497451218,2.2135421830498,1.7081223326834,1.6702670847298,"Blue_vs_Dark","Y","Topology=o",1,0,"Cluster 2","K02358",4,9150,"Organismal Systems",9159,"Environmental adaptation",4626,"Plant-pathogen interaction","K02358","tuf, TUFM","elongation factor Tu","-"
"g_00467",-26.4785896294008,40.4032627041286,0.277943458024186,0.161399749498766,0.471143497451218,2.2135421830498,1.7081223326834,1.6702670847298,"Blue_vs_Dark","Y","Topology=o",1,0,"Cluster 2","K02358",4,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3012,"Translation factors","K02358","tuf, TUFM","elongation factor Tu","-"
"g_00978",-42.2109864083561,28.5574225041402,0.0778393766715565,0.237754551014097,0.406708756158465,1.87243956768103,2.285796636072,2.37625287803277,"Blue_vs_Dark","N","Topology=i7-29o44-66i393-415o419-441i454-476o491-508i513-535o550-572i",0,1,"Cluster 2","K12952",1,9190,"Not Included in Pathway or Brite",9191,"Unclassified: metabolism",99980,"Enzymes with EC numbers","K12952","ctpE","cation-transporting P-type ATPase E","[EC:7.2.2.-]"
"g_01027",-24.025894040381,46.5020255140349,0.0537102089008162,0.158217703135114,0.116718295713319,2.0891240458701,1.69587605740737,1.66601790779184,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02925",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02925","RP-L3e, RPL3","large subunit ribosomal protein L3e","-"
"g_01027",-24.025894040381,46.5020255140349,0.0537102089008162,0.158217703135114,0.116718295713319,2.0891240458701,1.69587605740737,1.66601790779184,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02925",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02925","RP-L3e, RPL3","large subunit ribosomal protein L3e","-"
"g_01027",-24.025894040381,46.5020255140349,0.0537102089008162,0.158217703135114,0.116718295713319,2.0891240458701,1.69587605740737,1.66601790779184,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K02925",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02925","RP-L3e, RPL3","large subunit ribosomal protein L3e","-"
"g_01111",-44.9913471803465,17.772949557403,0.652021784630801,0.676775797792617,1.05173709456003,2.32419651823637,2.34981549000764,2.43623550536177,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01687",2,9100,"Metabolism",9105,"Amino acid metabolism",290,"Valine, leucine and isoleucine biosynthesis","K01687","ilvD","dihydroxy-acid dehydratase","[EC:4.2.1.9]"
"g_01111",-44.9913471803465,17.772949557403,0.652021784630801,0.676775797792617,1.05173709456003,2.32419651823637,2.34981549000764,2.43623550536177,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01687",2,9100,"Metabolism",9108,"Metabolism of cofactors and vitamins",770,"Pantothenate and CoA biosynthesis","K01687","ilvD","dihydroxy-acid dehydratase","[EC:4.2.1.9]"
"g_01236",-23.9419545237114,44.5108504664838,0.0565576579674683,0.0817313769098734,0.296701379960473,2.01975754611131,1.77172182684415,1.71755289477655,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01758",4,9100,"Metabolism",9105,"Amino acid metabolism",270,"Cysteine and methionine metabolism","K01758","CTH","cystathionine gamma-lyase","[EC:4.4.1.1]"
"g_01236",-23.9419545237114,44.5108504664838,0.0565576579674683,0.0817313769098734,0.296701379960473,2.01975754611131,1.77172182684415,1.71755289477655,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01758",4,9100,"Metabolism",9105,"Amino acid metabolism",260,"Glycine, serine and threonine metabolism","K01758","CTH","cystathionine gamma-lyase","[EC:4.4.1.1]"
"g_01236",-23.9419545237114,44.5108504664838,0.0565576579674683,0.0817313769098734,0.296701379960473,2.01975754611131,1.77172182684415,1.71755289477655,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01758",4,9100,"Metabolism",9106,"Metabolism of other amino acids",450,"Selenocompound metabolism","K01758","CTH","cystathionine gamma-lyase","[EC:4.4.1.1]"
"g_01236",-23.9419545237114,44.5108504664838,0.0565576579674683,0.0817313769098734,0.296701379960473,2.01975754611131,1.77172182684415,1.71755289477655,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K01758",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01758","CTH","cystathionine gamma-lyase","[EC:4.4.1.1]"
"g_01254",-22.6470323496765,40.4775546619113,0.238631378536808,0.0770170571820319,0.428883468374519,1.83676570662571,1.62185256860562,1.62750313955121,"Blue_vs_Dark","N","Topology=o",0,0,"Cluster 2","K00508",2,9180,"Brite Hierarchies",9181,"Protein families: metabolism",1004,"Lipid biosynthesis proteins","K00508","E1.14.19.3","linoleoyl-CoA desaturase","[EC:1.14.19.3]"
