"id","tSNE1","tSNE2","Dark1.x","Dark2.x","Dark3.x","Yellow1.x","Yellow2.x","Yellow3.x","degs","Cluster","SignalP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1.y","Dark2.y","Dark3.y","Yellow1.y","Yellow2.y","Yellow3.y","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_00005",58.5962973889173,-2.65451816179453,0.0266721511783994,0.069280240110702,0,0,0,0,"Yellow_vs_Dark","Cluster 5",0,0,"Q7FAS1.1","RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3 >B8AUI3.1 RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"K11517",2,9140,"Cellular Processes",9141,"Transport and catabolism",4146,"Peroxisome","K11517","HAO","(S)-2-hydroxy-acid oxidase","[EC:1.1.3.15]"
"g_00005",58.5962973889173,-2.65451816179453,0.0266721511783994,0.069280240110702,0,0,0,0,"Yellow_vs_Dark","Cluster 5",0,0,"Q7FAS1.1","RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3 >B8AUI3.1 RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"K11517",2,9100,"Metabolism",9101,"Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism","K11517","HAO","(S)-2-hydroxy-acid oxidase","[EC:1.1.3.15]"
"g_00083",-36.5758512761312,12.4985281474927,0.0285313998722711,0.0547474582398846,0.0221907433938234,0.230787283762127,0.196045130523166,0.0294130002559538,"Yellow_vs_Dark","Cluster 5",0,0,"Q55FN7.1","RecName: Full=2-oxoisovalerate dehydrogenase subunit beta, mitochondrial; AltName: Full=3-methyl-2-oxobutanoate dehydrogenase; AltName: Full=Branched-chain alpha-keto acid dehydrogenase E1 component beta chain; Short=BCKDE1B; Short=BCKDH E1-beta; Flags: Precursor",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072,"K00167",2,9100,"Metabolism",9105,"Amino acid metabolism",280,"Valine, leucine and isoleucine degradation","K00167","BCKDHB, bkdA2","2-oxoisovalerate dehydrogenase E1 component beta subunit","[EC:1.2.4.4]"
"g_00083",-36.5758512761312,12.4985281474927,0.0285313998722711,0.0547474582398846,0.0221907433938234,0.230787283762127,0.196045130523166,0.0294130002559538,"Yellow_vs_Dark","Cluster 5",0,0,"Q55FN7.1","RecName: Full=2-oxoisovalerate dehydrogenase subunit beta, mitochondrial; AltName: Full=3-methyl-2-oxobutanoate dehydrogenase; AltName: Full=Branched-chain alpha-keto acid dehydrogenase E1 component beta chain; Short=BCKDE1B; Short=BCKDH E1-beta; Flags: Precursor",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072,"K00167",2,9100,"Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism","K00167","BCKDHB, bkdA2","2-oxoisovalerate dehydrogenase E1 component beta subunit","[EC:1.2.4.4]"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9120,"Genetic Information Processing",9123,"Folding, sorting and degradation",3050,"Proteasome","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5022,"Pathways of neurodegeneration - multiple diseases","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9172,"Infectious disease: viral",5169,"Epstein-Barr virus infection","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5017,"Spinocerebellar ataxia","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5014,"Amyotrophic lateral sclerosis","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5016,"Huntington disease","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5020,"Prion disease","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5010,"Alzheimer disease","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9160,"Human Diseases",9164,"Neurodegenerative disease",5012,"Parkinson disease","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00098",-47.9711548163094,29.7809532031406,0,0,0,0.0812205300499034,0,0.0339072420596494,"Yellow_vs_Dark","Cluster 5",0,0,"Q12250.3","RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"K03035",10,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3051,"Proteasome","K03035","PSMD12, RPN5","26S proteasome regulatory subunit N5","-"
"g_00126",-44.4100522365994,1.05813992602065,0,0,0.00940542423085146,0.210879823065086,0.268625236274938,0.0487928264222076,"Yellow_vs_Dark","Cluster 5",0,0,"Q55BZ4.1","RecName: Full=Ethanolamine-phosphate cytidylyltransferase; AltName: Full=CTP:phosphoethanolamine cytidylyltransferase; AltName: Full=Phosphorylethanolamine transferase",4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904,"K00967",2,9100,"Metabolism",9106,"Metabolism of other amino acids",440,"Phosphonate and phosphinate metabolism","K00967","PCYT2","ethanolamine-phosphate cytidylyltransferase","[EC:2.7.7.14]"
"g_00126",-44.4100522365994,1.05813992602065,0,0,0.00940542423085146,0.210879823065086,0.268625236274938,0.0487928264222076,"Yellow_vs_Dark","Cluster 5",0,0,"Q55BZ4.1","RecName: Full=Ethanolamine-phosphate cytidylyltransferase; AltName: Full=CTP:phosphoethanolamine cytidylyltransferase; AltName: Full=Phosphorylethanolamine transferase",4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904,"K00967",2,9100,"Metabolism",9103,"Lipid metabolism",564,"Glycerophospholipid metabolism","K00967","PCYT2","ethanolamine-phosphate cytidylyltransferase","[EC:2.7.7.14]"
"g_00128",-13.2071503586521,-4.22867833501713,0.0111710643111714,0.0334732139866109,0,0.401822049894338,0.296519962473603,0.0649522793940468,"Yellow_vs_Dark","Cluster 5",0,0,"Q54TA5.1","RecName: Full=TBC1 domain family member 5 homolog B",4.010299,1.383827,1.458308,0.026056,0.080123,0,1.522447,0.979338,0.161321,"K18469",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",4131,"Membrane trafficking","K18469","TBC1D5","TBC1 domain family member 5","-"
"g_00166",-38.2805061250596,27.74057107046,0,0,0,0.173107272097562,0.046403847539376,0.0372981828186743,"Yellow_vs_Dark","Cluster 5",0,1,"Q8VIK2.1","RecName: Full=Mpv17-like protein 2",4.480193,3.468474,2.838521,0,0,0,0.489729,0.112766,0.089678,"K13348",1,9140,"Cellular Processes",9141,"Transport and catabolism",4146,"Peroxisome","K13348","MPV17","protein Mpv17","-"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9130,"Environmental Information Processing",9132,"Signal transduction",4066,"HIF-1 signaling pathway","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9150,"Organismal Systems",9154,"Digestive system",4978,"Mineral absorption","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9140,"Cellular Processes",9143,"Cell growth and death",4216,"Ferroptosis","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9160,"Human Diseases",9161,"Cancer: overview",5206,"MicroRNAs in cancer","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9160,"Human Diseases",9162,"Cancer: specific types",5225,"Hepatocellular carcinoma","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9160,"Human Diseases",9166,"Cardiovascular disease",5418,"Fluid shear stress and atherosclerosis","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9160,"Human Diseases",9161,"Cancer: overview",5200,"Pathways in cancer","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00184",-26.6292220119617,3.50592929756566,0.0275571224067009,0,0,0.300559834631549,0.267119375156004,0,"Yellow_vs_Dark","Cluster 5",0,1,"O78497.1","RecName: Full=Heme oxygenase",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"K00510",9,9100,"Metabolism",9108,"Metabolism of cofactors and vitamins",860,"Porphyrin metabolism","K00510","HMOX1","heme oxygenase 1","[EC:1.14.14.18]"
"g_00198",-27.9131841190939,15.2757879375666,0,0.0132017946783695,0.0367194969839125,0.297652416300855,0.149421120404829,0.0691658154161708,"Yellow_vs_Dark","Cluster 5",0,1,"Q84N34.1","RecName: Full=Heptahelical transmembrane protein 2; AltName: Full=PAQR family protein HHP2",6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643,"K07297",5,9160,"Human Diseases",9167,"Endocrine and metabolic disease",4936,"Alcoholic liver disease","K07297","ADIPOR","adiponectin receptor","-"
"g_00198",-27.9131841190939,15.2757879375666,0,0.0132017946783695,0.0367194969839125,0.297652416300855,0.149421120404829,0.0691658154161708,"Yellow_vs_Dark","Cluster 5",0,1,"Q84N34.1","RecName: Full=Heptahelical transmembrane protein 2; AltName: Full=PAQR family protein HHP2",6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643,"K07297",5,9160,"Human Diseases",9167,"Endocrine and metabolic disease",4932,"Non-alcoholic fatty liver disease","K07297","ADIPOR","adiponectin receptor","-"
"g_00198",-27.9131841190939,15.2757879375666,0,0.0132017946783695,0.0367194969839125,0.297652416300855,0.149421120404829,0.0691658154161708,"Yellow_vs_Dark","Cluster 5",0,1,"Q84N34.1","RecName: Full=Heptahelical transmembrane protein 2; AltName: Full=PAQR family protein HHP2",6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643,"K07297",5,9150,"Organismal Systems",9152,"Endocrine system",4920,"Adipocytokine signaling pathway","K07297","ADIPOR","adiponectin receptor","-"
"g_00198",-27.9131841190939,15.2757879375666,0,0.0132017946783695,0.0367194969839125,0.297652416300855,0.149421120404829,0.0691658154161708,"Yellow_vs_Dark","Cluster 5",0,1,"Q84N34.1","RecName: Full=Heptahelical transmembrane protein 2; AltName: Full=PAQR family protein HHP2",6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643,"K07297",5,9130,"Environmental Information Processing",9132,"Signal transduction",4152,"AMPK signaling pathway","K07297","ADIPOR","adiponectin receptor","-"
"g_00198",-27.9131841190939,15.2757879375666,0,0.0132017946783695,0.0367194969839125,0.297652416300855,0.149421120404829,0.0691658154161708,"Yellow_vs_Dark","Cluster 5",0,1,"Q84N34.1","RecName: Full=Heptahelical transmembrane protein 2; AltName: Full=PAQR family protein HHP2",6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643,"K07297",5,9150,"Organismal Systems",9149,"Aging",4211,"Longevity regulating pathway","K07297","ADIPOR","adiponectin receptor","-"
"g_00200",-50.8232379096343,32.4099264511316,0,0,0,0,0.024742966361726,0.0236939394112568,"Yellow_vs_Dark","Cluster 5",0,0,"Q6BI60.1","RecName: Full=RuvB-like helicase 1",11.140329,4.688615,4.659944,0,0,0,0,0.058627,0.056073,"K04499",3,9130,"Environmental Information Processing",9132,"Signal transduction",4310,"Wnt signaling pathway","K04499","RUVBL1, RVB1, INO80H","RuvB-like protein 1","[EC:5.6.2.4]"
"g_00200",-50.8232379096343,32.4099264511316,0,0,0,0,0.024742966361726,0.0236939394112568,"Yellow_vs_Dark","Cluster 5",0,0,"Q6BI60.1","RecName: Full=RuvB-like helicase 1",11.140329,4.688615,4.659944,0,0,0,0,0.058627,0.056073,"K04499",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3036,"Chromosome and associated proteins","K04499","RUVBL1, RVB1, INO80H","RuvB-like protein 1","[EC:5.6.2.4]"
"g_00200",-50.8232379096343,32.4099264511316,0,0,0,0,0.024742966361726,0.0236939394112568,"Yellow_vs_Dark","Cluster 5",0,0,"Q6BI60.1","RecName: Full=RuvB-like helicase 1",11.140329,4.688615,4.659944,0,0,0,0,0.058627,0.056073,"K04499",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",3037,"Cilium and associated proteins","K04499","RUVBL1, RVB1, INO80H","RuvB-like protein 1","[EC:5.6.2.4]"
"g_00287",59.5871730342904,12.0612480583892,0.0277347967986894,0,0.058415774378869,0,0,0,"Yellow_vs_Dark","Cluster 5",0,0,"A6ZRK4.2","RecName: Full=Cysteine proteinase 1, mitochondrial; AltName: Full=Bleomycin hydrolase; Short=BLM hydrolase; AltName: Full=Homocysteine-thiolactonase; Short=HTLase; Short=Hcy-thiolactonase; AltName: Full=Leucine aminopeptidase 3; AltName: Full=Y3; Flags: Precursor",9.562613,2.325145,3.58542,0.065945,0,0.143973,0,0,0,"K01372",1,9180,"Brite Hierarchies",9181,"Protein families: metabolism",1002,"Peptidases and inhibitors","K01372","BLMH, pepC","bleomycin hydrolase","[EC:3.4.22.40]"
"g_00382",-14.7768648771706,-0.726528407284329,0,0.00540661291847716,0.0144394684885506,0.4286828259138,0.31138656805996,0.0269869326330196,"Yellow_vs_Dark","Cluster 5",0,1,NA,NA,9.332539,2.774386,3.208215,0,0.012527,0.033807,1.683384,1.048267,0.064111,"K02599",11,9150,"Organismal Systems",9158,"Development and regeneration",4320,"Dorso-ventral axis formation","K02599","NOTCH1","Notch 1","-"
