gene_id,Sig0alP,tmhmm,SwissProt_ID,SwissProt_Description,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_00003,1,1,Q52978.2,RecName: Full=Probable K(+)/H(+) antiporter subunit A/B; AltName: Full=pH adaptation potassium efflux system protein A/B; Short=Pha system subunit A/B,22.838522,0.2355,0.801452,0.144241,0.216273,0.205956,0.823462,0.917153,0.189796
g_00005,0,0,Q7FAS1.1,RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3 >B8AUI3.1 RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3,18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0
g_00006,1,0,Q9Y7M3.1,RecName: Full=FYVE-type zinc finger-containing protein C9B6.03,12.116057,2.742023,2.167215,0.041656,0.245178,0.422462,0.053827,0.236718,0.313645
g_00011,0,0,NA,NA,24.410725,29.723441,27.834553,417.292732,358.695373,499.716983,390.802997,303.951327,355.827362
g_00012,0,0,P25284.2,"RecName: Full=NADH-ubiquinone oxidoreductase 40 kDa subunit, mitochondrial; AltName: Full=Complex I-40kD; Short=CI-40kD; Flags: Precursor",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281
g_00014,0,0,NA,NA,23.23015,6.27704,5.281935,0,0.128027,0.342871,0.383228,0.111462,0.165048
g_00015,0,0,P32895.1,RecName: Full=Ribose-phosphate pyrophosphokinase 1; AltName: Full=Phosphoribosyl pyrophosphate synthase 1,18.877369,7.406828,9.358358,0.064236,0.154016,0.146482,0.045213,0.160257,0.028763
g_00016,0,0,A7SLW1.1,RecName: Full=Branched-chain-amino-acid aminotransferase,16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309
g_00017,0,1,P33767.1,RecName: Full=Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1; Short=Oligosaccharyl transferase subunit WBP1; AltName: Full=Oligosaccharyl transferase subunit beta; Flags: Precursor,8.418909,1.731508,1.488221,0,0,0.048959,0,0.178328,0.05679
g_00022,0,0,NA,NA,25.23365,2.896496,3.385456,0.066091,0,0.049675,0,0,0
g_00023,0,0,P31244.1,RecName: Full=DNA repair protein RAD16; AltName: Full=ATP-dependent helicase RAD16,9.802654,2.521712,1.886239,0.070644,0.11863,0.139965,0.055616,0.107681,0.046925
g_00028,0,0,P40480.1,RecName: Full=Protein HOS4,5.80292,2.27034,2.001065,0.120628,0,0.050135,0,0,0
g_00035,0,1,Q44879.1,RecName: Full=Carboxy-terminal-processing protease; Short=C-terminal-processing protease; Flags: Precursor,2.727755,4.920931,3.862216,1.043284,1.031043,1.667154,1.248659,1.764322,1.647492
g_00036,0,0,Q12250.3,RecName: Full=26S proteasome regulatory subunit RPN5; AltName: Full=Proteasome non-ATPase subunit 5,22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157
g_00041,0,0,Q9R9T9.1,RecName: Full=HTH-type transcriptional regulator SrpR; AltName: Full=Solvent efflux pump srpABC operon corepressor,2.681934,1.068512,0.931554,2.873682,2.803744,2.457229,1.852845,2.171082,3.395514
