"id","tSNE1","tSNE2","Dark1.x","Dark2.x","Dark3.x","Yellow1.x","Yellow2.x","Yellow3.x","degs","Cluster","SignalP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1.y","Dark2.y","Dark3.y","Yellow1.y","Yellow2.y","Yellow3.y","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_00443",53.9608930745625,-13.3247879662159,0.812869457274272,0.674429478131096,0.68141274982446,1.80381356879871,1.93227513100465,0.961990145234907,"Yellow_vs_Dark","Cluster 3",0,0,"P41042.2","RecName: Full=40S ribosomal protein S4",420.259523,180.709039,197.882101,5.499343,3.725301,3.801896,62.652222,84.560858,8.161997,"K02987",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","-"
"g_00443",53.9608930745625,-13.3247879662159,0.812869457274272,0.674429478131096,0.68141274982446,1.80381356879871,1.93227513100465,0.961990145234907,"Yellow_vs_Dark","Cluster 3",0,0,"P41042.2","RecName: Full=40S ribosomal protein S4",420.259523,180.709039,197.882101,5.499343,3.725301,3.801896,62.652222,84.560858,8.161997,"K02987",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","-"
"g_00443",53.9608930745625,-13.3247879662159,0.812869457274272,0.674429478131096,0.68141274982446,1.80381356879871,1.93227513100465,0.961990145234907,"Yellow_vs_Dark","Cluster 3",0,0,"P41042.2","RecName: Full=40S ribosomal protein S4",420.259523,180.709039,197.882101,5.499343,3.725301,3.801896,62.652222,84.560858,8.161997,"K02987",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02987","RP-S4e, RPS4","small subunit ribosomal protein S4e","-"
"g_01445",52.522284700158,-12.4075070000245,0.614091020606244,0.497450489009401,0.742301782415784,1.87888856771907,1.79712771983219,0.821803878042682,"Yellow_vs_Dark","Cluster 3",0,1,"P38992.1","RecName: Full=Sphingolipid C4-hydroxylase SUR2; AltName: Full=Syringomycin response protein 2",260.302282,118.459363,164.578508,3.112359,2.143768,4.524612,74.663873,61.679817,5.634434,"K04713",1,9100,"Metabolism",9103,"Lipid metabolism",600,"Sphingolipid metabolism","K04713","SUR 2.00","sphinganine C4-monooxygenase","[EC:1.14.18.5]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9140,"Cellular Processes",9141,"Transport and catabolism",4142,"Lysosome","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9150,"Organismal Systems",9152,"Endocrine system",4924,"Renin secretion","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9150,"Organismal Systems",9151,"Immune system",4621,"NOD-like receptor signaling pathway","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9140,"Cellular Processes",9143,"Cell growth and death",4210,"Apoptosis","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9180,"Brite Hierarchies",9181,"Protein families: metabolism",1002,"Peptidases and inhibitors","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",536,"Glycosaminoglycan binding proteins","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9140,"Cellular Processes",9141,"Transport and catabolism",4140,"Autophagy - animal","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_02428",55.1472612576528,-13.1568580752046,0.901970290829597,0.598020675114509,0.6981008937551,1.96442713370632,2.07377730044664,1.03446946692421,"Yellow_vs_Dark","Cluster 3",0,1,"P92133.2","RecName: Full=Cathepsin B-like CP3; AltName: Full=Cathepsin B-like protease B3; Flags: Precursor",578.179112,357.034696,399.099813,6.979401,2.962969,3.990004,91.135529,117.516086,9.826036,"K01363",10,9150,"Organismal Systems",9151,"Immune system",4612,"Antigen processing and presentation","K01363","CTSB","cathepsin B","[EC:3.4.22.1]"
"g_03149",-4.50050665454338,19.040347844489,1.13650974051699,1.02590956548995,1.26070497168008,1.58832096144912,1.75043965826052,2.13707119603764,"Yellow_vs_Dark","Cluster 3",0,0,"P42378.2","RecName: Full=RNA polymerase sigma factor RpoH; AltName: Full=RNA polymerase sigma-32 factor",4.920508,5.68288,11.760212,12.693351,9.614745,17.226571,37.754395,55.29109,136.110652,"K03089",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3021,"Transcription machinery","K03089","rpoH","RNA polymerase sigma-32 factor","-"
"g_05560",-14.0700908085291,28.3596351847505,0.768727762334381,0.622434845466176,0.832220266442504,1.10547247615323,1.19132917693569,1.64257784741098,"Yellow_vs_Dark","Cluster 3",0,1,"P0AAR6.1","RecName: Full=Inner membrane protein YbaN >P0AAR5.1 RecName: Full=Inner membrane protein YbaN >P0AAR7.1 RecName: Full=Inner membrane protein YbaN",1.437196,1.167357,1.380086,4.871212,3.192131,5.795482,11.748893,14.535641,42.911457,"K09790",1,9190,"Not Included in Pathway or Brite",9194,"Poorly characterized",99997,"Function unknown","K09790","K09790","uncharacterized protein","-"
"g_06534",51.3437628027821,-12.8777891967188,0.664545047508699,0.54135692312306,0.535418566198265,1.71988769758304,1.87692089757605,0.797817229889854,"Yellow_vs_Dark","Cluster 3",0,0,"Q9U9L2.2","RecName: Full=60S ribosomal protein L8",381.645885,169.681312,186.516242,3.618969,2.478219,2.430983,51.467177,74.321836,5.277941,"K02938",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02938","RP-L8e, RPL8","large subunit ribosomal protein L8e","-"
"g_06534",51.3437628027821,-12.8777891967188,0.664545047508699,0.54135692312306,0.535418566198265,1.71988769758304,1.87692089757605,0.797817229889854,"Yellow_vs_Dark","Cluster 3",0,0,"Q9U9L2.2","RecName: Full=60S ribosomal protein L8",381.645885,169.681312,186.516242,3.618969,2.478219,2.430983,51.467177,74.321836,5.277941,"K02938",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02938","RP-L8e, RPL8","large subunit ribosomal protein L8e","-"
"g_06534",51.3437628027821,-12.8777891967188,0.664545047508699,0.54135692312306,0.535418566198265,1.71988769758304,1.87692089757605,0.797817229889854,"Yellow_vs_Dark","Cluster 3",0,0,"Q9U9L2.2","RecName: Full=60S ribosomal protein L8",381.645885,169.681312,186.516242,3.618969,2.478219,2.430983,51.467177,74.321836,5.277941,"K02938",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02938","RP-L8e, RPL8","large subunit ribosomal protein L8e","-"
"g_06855",50.2063901693378,-13.7298501509033,0.716807046521418,0.312409468401074,0.667294336394497,1.65072221718853,1.76399450550335,0.796218079532206,"Yellow_vs_Dark","Cluster 3",0,0,"P49693.3","RecName: Full=60S ribosomal protein L19-3",298.70952,128.08785,150.908339,4.209632,1.053097,3.648302,43.742703,57.075707,5.254867,"K02885",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02885","RP-L19e, RPL19","large subunit ribosomal protein L19e","-"
"g_06855",50.2063901693378,-13.7298501509033,0.716807046521418,0.312409468401074,0.667294336394497,1.65072221718853,1.76399450550335,0.796218079532206,"Yellow_vs_Dark","Cluster 3",0,0,"P49693.3","RecName: Full=60S ribosomal protein L19-3",298.70952,128.08785,150.908339,4.209632,1.053097,3.648302,43.742703,57.075707,5.254867,"K02885",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02885","RP-L19e, RPL19","large subunit ribosomal protein L19e","-"
"g_06855",50.2063901693378,-13.7298501509033,0.716807046521418,0.312409468401074,0.667294336394497,1.65072221718853,1.76399450550335,0.796218079532206,"Yellow_vs_Dark","Cluster 3",0,0,"P49693.3","RecName: Full=60S ribosomal protein L19-3",298.70952,128.08785,150.908339,4.209632,1.053097,3.648302,43.742703,57.075707,5.254867,"K02885",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02885","RP-L19e, RPL19","large subunit ribosomal protein L19e","-"
"g_07177",48.3904978869523,-13.2707353930481,0.694135468274257,0.391457535014543,0.446730506231467,1.55614088902641,1.69491854996831,0.756215072106959,"Yellow_vs_Dark","Cluster 3",0,0,"Q93W22.1","RecName: Full=60S ribosomal protein L10-3",279.106463,123.481234,127.726287,3.944649,1.462961,1.797245,34.986606,48.535728,4.704467,"K02866",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02866","RP-L10e, RPL10","large subunit ribosomal protein L10e","-"
"g_07177",48.3904978869523,-13.2707353930481,0.694135468274257,0.391457535014543,0.446730506231467,1.55614088902641,1.69491854996831,0.756215072106959,"Yellow_vs_Dark","Cluster 3",0,0,"Q93W22.1","RecName: Full=60S ribosomal protein L10-3",279.106463,123.481234,127.726287,3.944649,1.462961,1.797245,34.986606,48.535728,4.704467,"K02866",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02866","RP-L10e, RPL10","large subunit ribosomal protein L10e","-"
"g_07177",48.3904978869523,-13.2707353930481,0.694135468274257,0.391457535014543,0.446730506231467,1.55614088902641,1.69491854996831,0.756215072106959,"Yellow_vs_Dark","Cluster 3",0,0,"Q93W22.1","RecName: Full=60S ribosomal protein L10-3",279.106463,123.481234,127.726287,3.944649,1.462961,1.797245,34.986606,48.535728,4.704467,"K02866",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02866","RP-L10e, RPL10","large subunit ribosomal protein L10e","-"
"g_08863",47.8319339798647,-14.3029029133347,0.628655147597092,0.514429932641635,0.510112645238207,1.51092604364668,1.6787330695645,0.653989013290714,"Yellow_vs_Dark","Cluster 3",0,0,"P46782.4","RecName: Full=40S ribosomal protein S5; AltName: Full=Small ribosomal subunit protein uS7; Contains: RecName: Full=40S ribosomal protein S5, N-terminally processed >Q5E988.3 RecName: Full=40S ribosomal protein S5; Contains: RecName: Full=40S ribosomal protein S5, N-terminally processed",230.068326,96.140928,107.346015,3.252606,2.269113,2.236776,31.428439,46.723586,3.508053,"K02989",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02989","RP-S5e, RPS5","small subunit ribosomal protein S5e","-"
"g_08863",47.8319339798647,-14.3029029133347,0.628655147597092,0.514429932641635,0.510112645238207,1.51092604364668,1.6787330695645,0.653989013290714,"Yellow_vs_Dark","Cluster 3",0,0,"P46782.4","RecName: Full=40S ribosomal protein S5; AltName: Full=Small ribosomal subunit protein uS7; Contains: RecName: Full=40S ribosomal protein S5, N-terminally processed >Q5E988.3 RecName: Full=40S ribosomal protein S5; Contains: RecName: Full=40S ribosomal protein S5, N-terminally processed",230.068326,96.140928,107.346015,3.252606,2.269113,2.236776,31.428439,46.723586,3.508053,"K02989",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02989","RP-S5e, RPS5","small subunit ribosomal protein S5e","-"
"g_08863",47.8319339798647,-14.3029029133347,0.628655147597092,0.514429932641635,0.510112645238207,1.51092604364668,1.6787330695645,0.653989013290714,"Yellow_vs_Dark","Cluster 3",0,0,"P46782.4","RecName: Full=40S ribosomal protein S5; AltName: Full=Small ribosomal subunit protein uS7; Contains: RecName: Full=40S ribosomal protein S5, N-terminally processed >Q5E988.3 RecName: Full=40S ribosomal protein S5; Contains: RecName: Full=40S ribosomal protein S5, N-terminally processed",230.068326,96.140928,107.346015,3.252606,2.269113,2.236776,31.428439,46.723586,3.508053,"K02989",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02989","RP-S5e, RPS5","small subunit ribosomal protein S5e","-"
"g_08892",48.4824282098179,-12.7603016693725,0.72599342216261,0.49434469543911,0.335033227940793,1.46989694371468,1.67826347262731,0.84435923542278,"Yellow_vs_Dark","Cluster 3",0,0,"Q8I7D5.1","RecName: Full=40S ribosomal protein S23",185.213505,96.853175,105.045391,4.321002,2.121366,1.162884,28.50509,46.672011,5.988102,"K02973",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02973","RP-S23e, RPS23","small subunit ribosomal protein S23e","-"
"g_08892",48.4824282098179,-12.7603016693725,0.72599342216261,0.49434469543911,0.335033227940793,1.46989694371468,1.67826347262731,0.84435923542278,"Yellow_vs_Dark","Cluster 3",0,0,"Q8I7D5.1","RecName: Full=40S ribosomal protein S23",185.213505,96.853175,105.045391,4.321002,2.121366,1.162884,28.50509,46.672011,5.988102,"K02973",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02973","RP-S23e, RPS23","small subunit ribosomal protein S23e","-"
"g_08892",48.4824282098179,-12.7603016693725,0.72599342216261,0.49434469543911,0.335033227940793,1.46989694371468,1.67826347262731,0.84435923542278,"Yellow_vs_Dark","Cluster 3",0,0,"Q8I7D5.1","RecName: Full=40S ribosomal protein S23",185.213505,96.853175,105.045391,4.321002,2.121366,1.162884,28.50509,46.672011,5.988102,"K02973",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02973","RP-S23e, RPS23","small subunit ribosomal protein S23e","-"
"g_10194",46.3731778282118,-14.3737227150911,0.482070969082963,0.437606302374889,0.523103260913414,1.4772314357285,1.61019041337895,0.669771396394623,"Yellow_vs_Dark","Cluster 3",0,0,"Q9FFS8.1","RecName: Full=40S ribosomal protein S10-2",192.139409,82.231434,99.963359,2.034387,1.73909,2.335057,29.007612,39.755893,3.67489,"K02947",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02947","RP-S10e, RPS10","small subunit ribosomal protein S10e","-"
"g_10194",46.3731778282118,-14.3737227150911,0.482070969082963,0.437606302374889,0.523103260913414,1.4772314357285,1.61019041337895,0.669771396394623,"Yellow_vs_Dark","Cluster 3",0,0,"Q9FFS8.1","RecName: Full=40S ribosomal protein S10-2",192.139409,82.231434,99.963359,2.034387,1.73909,2.335057,29.007612,39.755893,3.67489,"K02947",3,9160,"Human Diseases",9172,"Infectious disease: viral",5171,"Coronavirus disease - COVID-19","K02947","RP-S10e, RPS10","small subunit ribosomal protein S10e","-"
"g_10194",46.3731778282118,-14.3737227150911,0.482070969082963,0.437606302374889,0.523103260913414,1.4772314357285,1.61019041337895,0.669771396394623,"Yellow_vs_Dark","Cluster 3",0,0,"Q9FFS8.1","RecName: Full=40S ribosomal protein S10-2",192.139409,82.231434,99.963359,2.034387,1.73909,2.335057,29.007612,39.755893,3.67489,"K02947",3,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3011,"Ribosome","K02947","RP-S10e, RPS10","small subunit ribosomal protein S10e","-"
"g_10689",51.8149691469345,-13.1974958470983,0.779644967936226,0.588435419011061,0.673022566849859,1.64909318352861,1.81032829424111,0.729372893281631,"Yellow_vs_Dark","Cluster 3",0,1,"Q9GNE2.1","RecName: Full=60S ribosomal protein L23; AltName: Full=AeRpL17A; AltName: Full=L17A",386.531973,173.12246,176.923918,5.020672,2.876461,3.710018,43.575188,63.614248,4.362569,"K02894",3,9120,"Genetic Information Processing",9122,"Translation",3010,"Ribosome","K02894","RP-L23e, RPL23","large subunit ribosomal protein L23e","-"
