id,len,ExpAA,First60,PredHel,Topology
g_00001,len=1306,ExpAA=4.94,First60=0.00,PredHel=0,Topology=o
g_00002,len=1132,ExpAA=0.17,First60=0.16,PredHel=0,Topology=o
g_00003,len=933,ExpAA=537.41,First60=37.48,PredHel=25,Topology=o4-21i28-50o77-99i106-125o129-151i163-185o200-219i226-248o268-290i297-314o324-346i367-389o409-431i462-484o499-521i570-592o602-621i626-648o652-674i687-709o745-767i787-809o819-841i854-876o896-918i
g_00004,len=1807,ExpAA=0.04,First60=0.03,PredHel=0,Topology=o
g_00005,len=453,ExpAA=5.31,First60=5.30,PredHel=0,Topology=o
g_00006,len=434,ExpAA=1.21,First60=1.21,PredHel=0,Topology=o
g_00007,len=480,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00008,len=486,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00009,len=141,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00010,len=485,ExpAA=0.75,First60=0.49,PredHel=0,Topology=o
g_00011,len=432,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00012,len=407,ExpAA=0.11,First60=0.00,PredHel=0,Topology=o
g_00013,len=475,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00014,len=419,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00015,len=462,ExpAA=4.03,First60=3.80,PredHel=0,Topology=o
g_00016,len=447,ExpAA=0.07,First60=0.00,PredHel=0,Topology=o
g_00017,len=468,ExpAA=24.74,First60=2.00,PredHel=1,Topology=o431-453i
g_00018,len=486,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00019,len=485,ExpAA=0.10,First60=0.00,PredHel=0,Topology=o
g_00020,len=418,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00021,len=485,ExpAA=71.72,First60=2.25,PredHel=3,Topology=i177-199o209-231i238-260o
g_00022,len=449,ExpAA=22.60,First60=7.90,PredHel=0,Topology=o
g_00023,len=421,ExpAA=0.07,First60=0.00,PredHel=0,Topology=o
g_00024,len=166,ExpAA=22.64,First60=22.64,PredHel=1,Topology=o15-37i
g_00025,len=403,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00026,len=394,ExpAA=0.49,First60=0.12,PredHel=0,Topology=o
g_00027,len=441,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00028,len=458,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00029,len=374,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00030,len=485,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00031,len=446,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00032,len=485,ExpAA=1.09,First60=1.01,PredHel=0,Topology=o
g_00033,len=611,ExpAA=2.50,First60=2.49,PredHel=0,Topology=o
g_00034,len=485,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
g_00035,len=485,ExpAA=22.11,First60=22.09,PredHel=1,Topology=i13-35o
