"id","umap1","umap2","W_1","W_2","W_3","B_1","B_2","B_3","degs","X.","Topology","Signalp","tmhmm","Cluster","id_raw","Gene","KO","Definition","Pathway","Enzyme","Modules","Hyperlink"
"comp109070_c0_seq1.1.341.minus.Z4_2",8.03552284959141,3.89506295340751,1.08090887540805,0.713445371827876,1.73271020638081,-1.22125222521695,-1.22125222521695,-1.22125222521695,"Blue_vs_White","N","N",0,0,"Cluster 4","comp109070_c0_seq1.1.341.minus.Z4_2_1","rbh:B4966_02140","K04090","indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]","-","1.2.7.8","-","http://www.genome.jp/dbget-bin/www_bget?ko:K04090"
"comp109305_c0_seq1.1.675.minus.Z4_3",6.63455402349853,4.2316924044491,0.875057945502613,0.659922860649258,0.736195723477126,-0.979373544165312,-0.979373544165312,-0.979373544165312,"Blue_vs_White","N","Y",0,1,"Cluster 4","comp109305_c0_seq1.1.675.minus.Z4_3_1","broc:IPI25_03535","K16267","zinc and cadmium transporter","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K16267"
"comp12639_c0_seq1.550.2346.minus.Z4_1",8.51468102506279,4.17672499566717,1.17502992672859,1.08718798347923,1.218909773848,-1.46084523833113,-1.47902226965895,-1.26846480269419,"Blue_vs_White","Y","Y",1,1,"Cluster 4","comp12639_c0_seq1.550.2346.minus.Z4_1_1","ppan:ESD82_12580","K02035","peptide/nickel transport system substrate-binding protein","map02024","-","M00239","http://www.genome.jp/dbget-bin/www_bget?ko:K02035"
"comp131603_c0_seq1.9.446.minus.R_2",5.23405624268567,5.4212797999386,0.23847205224491,0.414660417317267,0.214861795830315,-0.9732672366461,-0.9732672366461,-0.9732672366461,"Blue_vs_White","N","N",0,0,"Cluster 4","comp131603_c0_seq1.9.446.minus.R_2_1","alm:AO498_11335","K03768","peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]","-","5.2.1.8","-","http://www.genome.jp/dbget-bin/www_bget?ko:K03768"
"comp13234_c0_seq1.1.575.minus.Z1_3",8.49126802737898,3.71891479374614,0.968068897365968,1.76056761507246,0.969328285677839,-1.41583868715939,-1.57681141138582,-0.749507780333075,"Blue_vs_White","N","N",0,0,"Cluster 4","comp13234_c0_seq1.1.575.minus.Z1_3_1","rhp:LPB142_08380","K01338","ATP-dependent Lon protease [EC:3.4.21.53]","map04112","3.4.21.53","-","http://www.genome.jp/dbget-bin/www_bget?ko:K01338"
"comp14482_c0_seq1.7.516.plus.Z1_1",7.44119725223601,4.53647734456387,0.839584544596788,0.53206256309574,1.14380081643476,-1.35025097771728,-1.34209285020014,-1.03229629783001,"Blue_vs_White","N","N",0,0,"Cluster 4","comp14482_c0_seq1.7.516.plus.Z1_1_1","ppan:ESD82_07115","K23775","MarR family transcriptional regulator, organic hydroperoxide resistance regulator","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K23775"
"comp15272_c0_seq1.20.292.plus.Y_1",8.40816254544314,5.44191149437136,0.520869388793912,1.19930582520732,0.913897226051544,-1.57287849227566,-1.57287849227566,-1.57287849227566,"Blue_vs_White","N","N",0,0,"Cluster 4","comp15272_c0_seq1.20.292.plus.Y_1_1","qau:KI612_06390","K02968","small subunit ribosomal protein S20","map03010","-","M00178","http://www.genome.jp/dbget-bin/www_bget?ko:K02968"
"comp15375_c0_seq1.1.1186.minus.Y_1",5.1640413816506,5.57405528232075,0.0245783283333215,0.391953292547986,0.376595616295431,-0.996283899415262,-0.996283899415262,-0.996283899415262,"Blue_vs_White","N","N",0,0,"Cluster 4","comp15375_c0_seq1.1.1186.minus.Y_1_1","dvm:DvMF_1464","K23975","L-aspartate semialdehyde sulfurtransferase [EC:2.8.1.16]","map00270,map01100","2.8.1.16","-","http://www.genome.jp/dbget-bin/www_bget?ko:K23975"
"comp161079_c0_seq1.1.334.minus.Z3_3",7.37640052813118,5.57257811991274,0.481079672978927,0.923505963219772,0.466259615930294,-1.35817098505212,-1.35817098505212,-1.10888130983498,"Blue_vs_White","Y","Y",1,1,"Cluster 4","comp161079_c0_seq1.1.334.minus.Z3_3_1","thk:CCZ27_16370","K07403","membrane-bound serine protease (ClpP class)","-","-","-","http://www.genome.jp/dbget-bin/www_bget?ko:K07403"
"comp16608_c0_seq1.62.451.plus.R_2",7.99454569487494,5.6387365086103,0.297070424025347,1.19346784730317,0.752529747346763,-1.46714296701824,-1.46714296701824,-1.46714296701824,"Blue_vs_White","N","N",0,0,"Cluster 4","comp16608_c0_seq1.62.451.plus.R_2_1","slac:SKTS_17960","K01768","adenylate cyclase [EC:4.6.1.1]","map00230,map01100,map02025,map04113,map04213","4.6.1.1","M00695","http://www.genome.jp/dbget-bin/www_bget?ko:K01768"
"comp17061_c0_seq1.464.1454.minus.W_1",8.80772953563887,3.92803032371399,1.05181823471534,1.26297288548513,1.59370748812867,-1.344861401751,-1.344861401751,-1.344861401751,"Blue_vs_White","N","N",0,0,"Cluster 4","comp17061_c0_seq1.464.1454.minus.W_1_1","fbo:J9309_04055","K00162","pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]","map00010,map00020,map00620,map01100,map01110,map01120,map01200,map04066,map04922,map05230,map05415","1.2.4.1","M00307","http://www.genome.jp/dbget-bin/www_bget?ko:K00162"
