"id","tSNE1","tSNE2","Dark1.x","Dark2.x","Dark3.x","Yellow1.x","Yellow2.x","Yellow3.x","degs","Cluster","SignalP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1.y","Dark2.y","Dark3.y","Yellow1.y","Yellow2.y","Yellow3.y","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_01051",55.1839395727185,2.10775902618264,0,0.0886990656337814,0.109657839745585,0,0,0,"Yellow_vs_Dark","Cluster 5",0,0,"P12716.1","RecName: Full=Actin, cytoplasmic; Contains: RecName: Full=Actin, cytoplasmic, intermediate form; Flags: Precursor",18.274359,7.407874,2.15571,0,0.226589,0.287235,0,0,0,"K05692",38,9150,"Organismal Systems",9157,"Sensory system",4745,"Phototransduction - fly","K05692","ACTB_G1","actin beta/gamma 1","-"
"g_08757",27.7291898029271,-43.8649973346523,0.0600262419507268,0,0.13699088680144,0.841475225170009,0.950855738589118,0.20345609065812,"Yellow_vs_Dark","Cluster 1",0,0,"Q41420.1","PUTATIVE PSEUDOGENE: RecName: Full=Putative calmodulin-3; Short=CaM-3",36.280253,16.046749,19.310493,0.148223,0,0.370853,5.94185,7.930088,0.597556,"K02183",50,9150,"Organismal Systems",9157,"Sensory system",4745,"Phototransduction - fly","K02183","CALM","calmodulin","-"
"g_08757",27.7291898029271,-43.8649973346523,0.0600262419507268,0,0.13699088680144,0.841475225170009,0.950855738589118,0.20345609065812,"Yellow_vs_Dark","Cluster 1",0,0,"Q41420.1","PUTATIVE PSEUDOGENE: RecName: Full=Putative calmodulin-3; Short=CaM-3",36.280253,16.046749,19.310493,0.148223,0,0.370853,5.94185,7.930088,0.597556,"K02183",50,9150,"Organismal Systems",9157,"Sensory system",4744,"Phototransduction","K02183","CALM","calmodulin","-"
"g_09501",-4.7281087350881,-27.6696510394109,0.144238472530036,0,0,0.446866025262414,0.53139371032555,0.184453213162855,"Yellow_vs_Dark","Cluster 1",0,0,"P04464.3","RecName: Full=Calmodulin; Short=CaM",18.678784,10.194186,15.638236,0.393922,0,0,1.798118,2.399333,0.529161,"K02183",50,9150,"Organismal Systems",9157,"Sensory system",4745,"Phototransduction - fly","K02183","CALM","calmodulin","-"
"g_09501",-4.7281087350881,-27.6696510394109,0.144238472530036,0,0,0.446866025262414,0.53139371032555,0.184453213162855,"Yellow_vs_Dark","Cluster 1",0,0,"P04464.3","RecName: Full=Calmodulin; Short=CaM",18.678784,10.194186,15.638236,0.393922,0,0,1.798118,2.399333,0.529161,"K02183",50,9150,"Organismal Systems",9157,"Sensory system",4744,"Phototransduction","K02183","CALM","calmodulin","-"
"g_24609",3.26577302345343,-51.8006697591136,0.0101994295840241,0.00949381319143322,0.0432789483710039,0.619899992916555,0.75924285905124,0.177304718177291,"Yellow_vs_Dark","Cluster 1",0,0,"P62871.3","RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62872.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62873.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62874.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P54311.4 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1",22.573563,8.467426,8.691165,0.023763,0.022101,0.104788,3.167734,4.744376,0.504197,"K04536",23,9150,"Organismal Systems",9157,"Sensory system",4744,"Phototransduction","K04536","GNB1","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","-"
"g_31770",-7.84662485051014,-24.892823642223,0.0824158834157522,0,0,0.457628055370623,0.479623818317823,0.13756677495871,"Yellow_vs_Dark","Cluster 1",0,1,"Q09196.1","RecName: Full=Myosin regulatory light chain cdc4",11.766275,9.038369,7.468409,0.208971,0,0,1.868323,2.017337,0.372672,"K02183",50,9150,"Organismal Systems",9157,"Sensory system",4745,"Phototransduction - fly","K02183","CALM","calmodulin","-"
"g_31770",-7.84662485051014,-24.892823642223,0.0824158834157522,0,0,0.457628055370623,0.479623818317823,0.13756677495871,"Yellow_vs_Dark","Cluster 1",0,1,"Q09196.1","RecName: Full=Myosin regulatory light chain cdc4",11.766275,9.038369,7.468409,0.208971,0,0,1.868323,2.017337,0.372672,"K02183",50,9150,"Organismal Systems",9157,"Sensory system",4744,"Phototransduction","K02183","CALM","calmodulin","-"
"g_33597",30.9235975896495,-35.602963201537,0.187063060526497,0.0616311364183892,0.110821272278557,1.00376417356645,0.99151668984486,0.232236319722764,"Yellow_vs_Dark","Cluster 1",0,0,"P36408.1","RecName: Full=Guanine nucleotide-binding protein subunit beta",33.606974,16.516017,17.138476,0.538378,0.152474,0.290688,9.08705,8.80656,0.707011,"K04536",23,9150,"Organismal Systems",9157,"Sensory system",4744,"Phototransduction","K04536","GNB1","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","-"
"g_48714",7.04875307465598,-25.3182544334606,0.0856059249479131,0.0541237189723778,0,0.569280836539309,0.490237378379201,0.133397739722451,"Yellow_vs_Dark","Cluster 1",0,0,"P62871.3","RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62872.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62873.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62874.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P54311.4 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1",14.981022,3.898352,4.563911,0.217884,0.132723,0,2.709205,2.091985,0.359558,"K04536",23,9150,"Organismal Systems",9157,"Sensory system",4744,"Phototransduction","K04536","GNB1","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","-"
