"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm","Cluster","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9150,"Organismal Systems",9149,"Aging",4212,"Longevity regulating pathway - worm","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9120,"Genetic Information Processing",9123,"Folding, sorting and degradation",3018,"RNA degradation","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3019,"Messenger RNA biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9160,"Human Diseases",9171,"Infectious disease: bacterial",5152,"Tuberculosis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,2.90719077454118,2.28973733417708,3.14843332560633,3.63195029497029,3.60646724856432,3.60640011386518,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3029,"Mitochondrial biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_05533",5.8603930188043,13.407280981124,2.26682494552199,2.41746098268838,1.92475383465338,1.22731400928486,1.24871689232423,1.61989802345682,"Yellow_vs_Dark","Y","Topology=o",1,0,"Cluster 3","K02014",1,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters","K02014","TC.FEV.OM","iron complex outermembrane recepter protein","-"
"g_06016",4.33632581520146,17.540097481684,3.09380804619849,2.93475684421596,2.99509019397768,2.70451263866222,2.57582241088685,2.38663191421965,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K06969",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3009,"Ribosome biogenesis","K06969","rlmI","23S rRNA (cytosine1962-C5)-methyltransferase","[EC:2.1.1.191]"
"g_06237",5.56690098152575,13.9108305402508,1.91763088020163,2.1279029491899,2.06273066797263,1.76428803289518,1.53221588947281,1.73502351761028,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K02416",3,9140,"Cellular Processes",9142,"Cell motility",2030,"Bacterial chemotaxis","K02416","fliM","flagellar motor switch protein FliM","-"
"g_06237",5.56690098152575,13.9108305402508,1.91763088020163,2.1279029491899,2.06273066797263,1.76428803289518,1.53221588947281,1.73502351761028,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K02416",3,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02416","fliM","flagellar motor switch protein FliM","-"
"g_06237",5.56690098152575,13.9108305402508,1.91763088020163,2.1279029491899,2.06273066797263,1.76428803289518,1.53221588947281,1.73502351761028,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K02416",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02416","fliM","flagellar motor switch protein FliM","-"
"g_09008",6.27015417502875,11.7177086127271,1.9585284836735,2.2914400369395,1.36548532670102,1.48719382582535,1.23471140721095,1.08059369717204,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K01903",4,9100,"Metabolism",9101,"Carbohydrate metabolism",640,"Propanoate metabolism","K01903","sucC","succinyl-CoA synthetase beta subunit","[EC:6.2.1.5]"
"g_09008",6.27015417502875,11.7177086127271,1.9585284836735,2.2914400369395,1.36548532670102,1.48719382582535,1.23471140721095,1.08059369717204,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K01903",4,9100,"Metabolism",9101,"Carbohydrate metabolism",660,"C5-Branched dibasic acid metabolism","K01903","sucC","succinyl-CoA synthetase beta subunit","[EC:6.2.1.5]"
"g_09008",6.27015417502875,11.7177086127271,1.9585284836735,2.2914400369395,1.36548532670102,1.48719382582535,1.23471140721095,1.08059369717204,"Yellow_vs_Dark","N","Topology=o",0,0,"Cluster 3","K01903",4,9100,"Metabolism",9101,"Carbohydrate metabolism",20,"Citrate cycle (TCA cycle)","K01903","sucC","succinyl-CoA synthetase beta subunit","[EC:6.2.1.5]"
